Code,English,Santali Ol Chiki
Bhks,Bhaiksuki,ᱵᱷᱟᱭᱠᱥᱩᱠᱤ
Brah,Brahmi,ᱵᱽᱨᱟᱦᱢᱦᱤ
Bugi,Buginese,ᱵᱩᱜᱤᱱᱤᱡᱽ
Buhd,Buhid,ᱵᱩᱦᱤᱫ
Cari,Carian,ᱠᱟᱨᱤᱭᱟᱹᱱ
Chrs,Chorasmian,ᱠᱚᱨᱟᱥᱢᱤᱭᱟᱹᱱ
Copt,Coptic,ᱠᱚᱯᱴᱤᱠ
Cprt,Cypriot,ᱥᱭᱯᱨᱚᱭᱤᱴ
Diak,Dives Akuru,ᱰᱤᱣᱮᱥ ᱟᱠᱩᱨᱩ
Dogr,Dogra,ᱰᱚᱜᱽᱨᱟ
Dsrt,Deseret,ᱰᱮᱡᱟᱹᱨᱴ
Dupl,Duployan shorthand,ᱰᱩᱯᱞᱚᱭᱟᱱ ᱥᱚᱛᱷᱞᱮᱸᱰ
Egyp,Egyptian hieroglyphs,ᱤᱡᱤᱯᱴᱤᱭᱟᱱ ᱦᱟᱭᱨᱚᱜᱞᱤᱢᱯᱥ
Elba,Elbasan,ᱮᱞᱵᱟᱥᱟᱱ
Elym,Elymaic,ᱮᱞᱤᱢᱟᱭᱤᱠ
Glag,Glagolitic,ᱜᱞᱟᱜᱚᱞᱤᱴᱤᱠ
Gonm,Masaram Gondi,ᱢᱟᱥᱟᱨᱟᱢ ᱜᱚᱱᱰᱤ
Goth,Gothic,ᱜᱚᱛᱷᱤᱠ
Gran,Grantha,ᱜᱽᱨᱟᱱᱛᱷᱟ
Hano,Hanunoo,ᱦᱟᱱᱩᱱᱚ
Hatr,Hatran,ᱦᱟᱴᱨᱟᱱ
Hluw,Anatolian Hieroglyphs,ᱟᱱᱟᱴᱚᱞᱤᱭᱟᱹᱱ ᱦᱟᱭᱨᱚᱡᱷᱟᱞᱠᱟᱣ
Hmng,Pahawh Hmong,ᱯᱟᱦᱟᱣ ᱢᱚᱝ
Hung,Old Hungarian,ᱢᱟᱨᱮ ᱦᱟᱹᱱᱜᱟᱨᱤᱭᱟᱹᱱ
Ital,Old Italic,ᱢᱟᱨᱮ ᱤᱴᱟᱞᱤᱠ
Khar,Kharoshthi,ᱠᱷᱟᱨᱚᱥᱛᱤ
Khoj,Khojki,ᱠᱷᱚᱡᱽᱠᱤ
Kits,Khitan small script,ᱠᱷᱤᱛᱟᱱ ᱢᱟᱨᱮ ᱪᱤᱠᱤ
Kthi,Kaithi,ᱠᱟᱭᱛᱷᱤ
Lina,Linear A,ᱥᱤᱫᱷ ᱮ
Linb,Linear B,ᱥᱤᱫᱷ ᱵ
Lyci,Lycian,ᱞᱟᱭᱥᱤᱭᱟᱹᱱ
Lydi,Lydian,ᱞᱭᱰᱤᱭᱟᱹᱱ
Mahj,Mahajani,ᱢᱟᱦᱟᱡᱟᱱᱤ
Maka,Makasar,ᱢᱟᱠᱟᱥᱟᱨ
Mani,Manichaean,ᱢᱟᱱᱤᱪᱷᱟᱤᱭᱟᱱ
Marc,Marchen,ᱢᱟᱨᱪᱷᱮᱱ
Medf,Medefaidrin,ᱢᱮᱰᱮᱯᱷᱭᱰᱨᱤᱱ
Mend,Mende,ᱢᱮᱱᱰᱮ
Merc,Meroitic Cursive,ᱢᱮᱨᱚᱭᱮᱴᱤᱠ ᱠᱚᱨᱥᱣ
Mero,Meroitic,ᱢᱮᱨᱚᱤᱴᱤᱠ
Modi,Modi,ᱢᱚᱫᱤ
Mong,Mongolian,ᱢᱚᱱᱜᱚᱞᱤᱭᱟᱹᱱ
Mroo,Mro,ᱢᱨᱚ
Mult,Multani,ᱢᱩᱞᱛᱟᱱᱤ
Nand,Nandinagari,ᱱᱟᱹᱱᱫᱤᱱᱟᱜᱤᱨᱤ
Narb,Old North Arabian,ᱢᱟᱨᱮ ᱮᱛᱚᱢ ᱟᱹᱨᱵᱤ
Nbat,Nabataean,ᱱᱟᱹᱵᱟᱹᱴᱟᱤᱭᱟᱹᱱ
Nshu,Nüshu,ᱱᱤᱥᱩ
Ogam,Ogham,ᱚᱜᱽᱷᱟᱢ
Orkh,Orkhon,ᱚᱨᱠᱷᱚᱱ
Osma,Osmanya,ᱚᱥᱢᱟᱱᱭᱟ
Palm,Palmyrene,ᱯᱟᱞᱢᱟᱭᱨᱤᱱ
Pauc,Pau Cin Hau,ᱯᱟᱣ ᱪᱤᱱ ᱦᱟᱣ
Perm,Old Permic,ᱢᱟᱨᱮ ᱯᱟᱹᱨᱢᱤᱠ
Phag,Phags-pa,ᱯᱷᱟᱜᱥᱼᱯᱟ
Phli,Inscriptional Pahlavi,ᱤᱱᱥᱠᱨᱤᱯᱥᱚᱱᱟᱞ ᱯᱟᱦᱟᱞᱣᱤ
Phlp,Psalter Pahlavi,ᱥᱟᱹᱞᱛᱟᱨ ᱯᱟᱦᱟᱞᱣᱤ
Phnx,Phoenician,ᱯᱷᱚᱮᱱᱤᱥᱤᱭᱟᱱ
Prti,Inscriptional Parthian,ᱤᱱᱥᱠᱨᱤᱯᱥᱚᱱᱟᱞ ᱯᱟᱨᱛᱷᱤᱭᱟᱱ
Rjng,Rejang,ᱨᱮᱡᱟᱝ
Runr,Runic,ᱨᱩᱱᱤᱠ
Samr,Samaritan,ᱥᱟᱢᱟᱨᱤᱴᱟᱱ
