Code,English,Santali (Ol Chiki)
Louisiana Creole ► lou,Louisiana Creole,ᱞᱩᱭᱥᱤᱭᱟᱱᱟ ᱠᱨᱮᱚᱞᱮ
Low German ► nds,Low German,ᱞᱚ ᱡᱟᱹᱨᱢᱟᱹᱱ
Low German ► nds_NL,Low Saxon,ᱞᱚ ᱥᱟᱠᱥᱚᱱ
Lower Silesian ► sli,Lower Silesian,ᱞᱚᱣᱟᱹᱨ ᱥᱤᱞᱮᱥᱤᱭᱟᱹᱱ
Lower Sorbian ► dsb,Lower Sorbian,ᱞᱚᱣᱟᱹᱨ ᱥᱚᱨᱵᱤᱭᱟᱹᱱ 
Lozi ► loz,Lozi,ᱞᱚᱡᱤ
Luba-Katanga ► lu,Luba-Katanga,ᱞᱩᱵᱟᱼᱠᱟᱹᱡᱟᱹᱝᱜᱟ
Luba-Lulua ► lua,Luba-Lulua,ᱞᱩᱵᱟᱼᱞᱩᱞᱩᱣᱟ
Luiseno ► lui,Luiseno,ᱞᱩᱣᱤᱥᱮᱱᱚ
Lule Sami ► smj,Lule Sami,ᱞᱩᱞᱮ ᱥᱟᱢᱤ
Lunda ► lun,Lunda,ᱞᱩᱱᱰᱟ
Luo ► luo,Luo,ᱞᱣᱚ
Luxembourgish ► lb,Luxembourgish,ᱞᱩᱠᱥᱮᱢᱵᱚᱨᱜᱤᱥ
Luyia ► luy,Luyia,ᱞᱩᱭᱤᱭᱟ
,,
,,
M,,
,,
Maba ► mde,Maba,ᱢᱟᱵᱟ
Macedonian ► mk,Macedonian,ᱢᱟᱥᱮᱰᱚᱱᱤᱭᱟᱹᱱ
Machame ► jmc,Machame,ᱢᱟᱹᱪᱢᱮ
Madurese ► mad,Madurese,ᱢᱟᱱᱰᱩᱨᱤᱡᱽ
Mafa ► maf,Mafa,ᱢᱟᱯᱷᱟ
Magahi ► mag,Magahi,ᱢᱟᱜᱟᱦᱤ
Main-Franconian ► vmf,Main-Franconian,ᱢᱮᱱᱼᱯᱷᱨᱟᱱᱠᱚᱱᱤᱭᱟᱹᱱ
Maithili ► mai,Maithili,ᱢᱟᱹᱭᱛᱷᱤᱞᱤ
Makasar ► mak,Makasar,ᱢᱟᱠᱟᱥᱟᱨ
Makhuwa-Meetto ► mgh,Makhuwa-Meetto,ᱢᱟᱠᱷᱩᱣᱟᱼᱢᱤᱴᱩ
Makonde ► kde,Makonde,ᱢᱟᱠᱚᱱᱰᱮ
Malagasy ► mg,Malagasy,ᱢᱟᱞᱟᱜᱟᱥᱭ
Malay ► ms,Malay,ᱢᱟᱞᱟᱭ
Malayalam ► ml,Malayalam,ᱢᱟᱞᱟᱭᱟᱞᱟᱹᱢ
Maltese ► mt,Maltese,ᱢᱟᱞᱴᱤᱡᱽ
Manchu ► mnc,Manchu,ᱢᱟᱱᱪᱷᱩ
Mandar ► mdr,Mandar,ᱢᱟᱱᱰᱟᱨ
Mandingo ► man,Mandingo,ᱢᱟᱱᱰᱤᱱᱜᱚ
Manipuri ► mni,Manipuri,ᱢᱟᱹᱱᱤᱯᱩᱨᱤ
Manx ► gv,Manx,ᱢᱟᱝᱠᱥ
Māori ► mi,Māori,ᱢᱟᱣᱨᱤ
Mapuche ► arn,Mapuche,ᱢᱟᱯᱩᱪᱷᱮ
Marathi ► mr,Marathi,ᱢᱟᱨᱟᱴᱷᱤ
Mari ► chm,Mari,ᱢᱟᱨᱤ
Marshallese ► mh,Marshallese,ᱢᱟᱨᱥᱟᱯᱤᱥ
Marwari ► mwr,Marwari,ᱢᱟᱨᱣᱟᱨᱤ
Masai ► mas,Masai,ᱢᱟᱥᱟᱭ
Mazanderani ► mzn,Mazanderani,ᱢᱟᱡᱟᱱᱰᱮᱨᱟᱱᱤ
Medumba ► byv,Medumba,ᱢᱮᱰᱩᱢᱵᱟ
Mende ► men,Mende,ᱢᱮᱱᱰᱮ
Mentawai ► mwv,Mentawai,ᱢᱮᱱᱴᱟᱣᱟᱭ
Meru ► mer,Meru,ᱢᱮᱨᱩ
Metaʼ ► mgo,Metaʼ,ᱢᱮᱴᱟ
Mi'kmaq ► mic,Mi'kmaq,ᱢᱤᱠᱢᱟᱠ
Middle Dutch ► dum,Middle Dutch,ᱛᱟᱞᱟ ᱰᱚᱪ
Middle English ► enm,Middle English,ᱛᱟᱞᱟ ᱤᱝᱨᱟᱡᱤ
Middle French ► frm,Middle French,ᱛᱟᱞᱟ ᱯᱷᱨᱮᱸᱪ
Middle High German ► gmh,Middle High German,ᱛᱟᱞᱟ ᱦᱟᱭ ᱡᱟᱹᱨᱢᱟᱹᱱ
Middle Irish ► mga,Middle Irish,ᱛᱟᱞᱟ ᱤᱨᱤᱥ
Min Nan Chinese ► nan,Min Nan Chinese,ᱢᱤᱱ ᱱᱟᱱ ᱪᱟᱭᱱᱤᱡᱽ
Minangkabau ► min,Minangkabau,ᱢᱤᱱᱟᱝᱠᱟᱵᱩ
Mingrelian ► xmf,Mingrelian,ᱢᱤᱱᱜᱽᱨᱮᱞᱤᱭᱟᱹᱱ
Mirandese ► mwl,Mirandese,ᱢᱤᱨᱟᱱᱰᱤᱡᱽ
Mizo ► lus,Mizo,ᱢᱤᱡᱚ
Mohawk ► moh,Mohawk,ᱢᱚᱦᱟᱣᱟᱠ
Moksha ► mdf,Moksha,ᱢᱚᱠᱥᱷᱟ
Mongo ► lol,Mongo,ᱢᱚᱱᱜᱚ
Mongolian ► mn,Mongolian,ᱢᱚᱱᱜᱚᱞᱤᱭᱟᱹᱱ
Morisyen ► mfe,Morisyen,ᱢᱚᱨᱤᱥᱭᱮᱱ
Moroccan Arabic ► ary,Moroccan Arabic,ᱢᱚᱨᱚᱠᱟᱱ ᱟᱹᱨᱵᱤ
Mossi ► mos,Mossi,ᱢᱚᱥᱤ
Multiple languages ► mul,Multiple languages,ᱟᱭᱢᱟ ᱯᱟᱹᱨᱤ
Mundang ► mua,Mundang,ᱢᱩᱱᱰᱟᱹᱜᱽ
Muscogee ► mus,Muscogee,ᱢᱩᱥᱠᱚᱜᱤ
Muslim Tat ► ttt,Muslim Tat,ᱢᱩᱥᱞᱤᱢ ᱴᱟᱴ
Myene ► mye,Myene,ᱢᱟᱭᱤᱱ
,,
,,
N,,
,,
N’Ko ► nqo,N’Ko,ᱮᱱ ᱠᱚ
Najdi Arabic ► ars,Najdi Arabic,ᱱᱟᱡᱫᱤ ᱟᱹᱨᱵᱤᱠ
Najdi Arabic ► ars-menu,"Arabic, Najdi","ᱟᱹᱨᱵᱤ, ᱱᱟᱹᱡᱽᱫᱤ"
Nama ► naq,Nama,ᱱᱟᱢᱟ
Nauru ► na,Nauru,ᱱᱟᱩᱨᱩ
Navajo ► nv,Navajo,ᱱᱟᱣᱟᱡᱚ
Ndonga ► ng,Ndonga,ᱰᱚᱱᱜᱟ
Neapolitan ► nap,Neapolitan,ᱱᱤᱭᱟᱯᱚᱞᱤᱴᱟᱱ
Nepali ► ne,Nepali,ᱱᱮᱯᱟᱯᱤ
Newari ► new,Newari,ᱱᱮᱣᱟᱨᱤ
Ngambay ► sba,Ngambay,ᱱᱟᱢᱵᱮ
Ngiemboon ► nnh,Ngiemboon,ᱱᱤᱭᱟᱹᱱᱵᱩᱱ
Ngomba ► jgo,Ngomba,ᱜᱚᱢᱵᱟ
Nheengatu ► yrl,Nheengatu,ᱱᱷᱤᱱᱜᱟᱴᱩ
Nias ► nia,Nias,ᱱᱤᱭᱟᱥ
Nigerian Pidgin ► pcm,Nigerian Pidgin,ᱱᱟᱭᱡᱮᱨᱤᱭᱟᱹᱱ ᱯᱤᱰᱜᱤᱱ
Niuean ► niu,Niuean,ᱱᱤᱣᱮᱱ
No linguistic content ► zxx,No linguistic content,ᱚᱠᱟ ᱯᱟᱹᱨᱥᱤ ᱵᱟᱹᱱᱩᱜᱼᱟ
Nogai ► nog,Nogai,ᱱᱚᱜᱟᱭ
North Ndebele ► nd,North Ndebele,ᱮᱛᱚᱢ ᱱᱮᱵᱮᱞᱮ
Northern Frisian ► frr,Northern Frisian,ᱮᱛᱚᱢ ᱯᱷᱨᱤᱥᱤᱭᱟᱱ
Northern Luri ► lrc,Northern Luri,ᱮᱛᱚᱢ ᱯᱩᱨᱤ
Northern Sami ► se,Northern Sami,ᱮᱛᱚᱢ ᱥᱟᱢᱤ
Northern Sotho ► nso,Northern Sotho,ᱮᱛᱚᱢ ᱥᱚᱛᱷᱚ
Norwegian ► no,Norwegian,ᱱᱚᱨᱣᱮᱭᱟᱹᱱ
Norwegian Bokmål ► nb,Norwegian Bokmål,ᱱᱚᱨᱣᱮᱭᱟᱹᱱ ᱵᱚᱠᱢᱟᱞ
Norwegian Nynorsk ► nn,Norwegian Nynorsk,ᱱᱚᱨᱣᱮᱭᱟᱹᱱ ᱱᱟᱭᱱᱟᱨᱥᱠ
Novial ► nov,Novial,ᱱᱚᱣᱤᱭᱟᱞ
Nuer ► nus,Nuer,ᱱᱩᱮᱨ
Nyamwezi ► nym,Nyamwezi,ᱱᱭᱟᱢᱣᱮᱡᱤ
Nyanja ► ny,Nyanja,ᱱᱭᱟᱱᱡᱟ
Nyankole ► nyn,Nyankole,ᱱᱭᱟᱱᱠᱚᱞᱮ
Nyasa Tonga ► tog,Nyasa Tonga,ᱱᱭᱟᱥᱟ ᱴᱚᱱᱜᱟ
Nyoro ► nyo,Nyoro,ᱱᱭᱚᱨᱚ
Nzima ► nzi,Nzima,ᱡᱤᱢᱟ
,,
,,
