Code,English,Santali (Ol Chiki)
Sassarese Sardinian ► sdc,Sassarese Sardinian,ᱥᱟᱥᱟᱨᱤᱥ ᱥᱟᱨᱰᱤᱱᱤᱭᱟᱹᱱ
Saterland Frisian ► stq,Saterland Frisian,ᱥᱟᱛᱮᱨᱞᱮᱸᱱᱰ ᱯᱷᱨᱤᱥᱤᱭᱟᱹᱱ
Saurashtra ► saz,Saurashtra,ᱥᱟᱣᱨᱟᱥᱴᱨᱚ
Scots ► sco,Scots,ᱥᱠᱚᱴᱥ
Scottish Gaelic ► gd,Scottish Gaelic,ᱥᱠᱚᱴᱤᱥ ᱜᱮᱞᱤᱠ
Selayar ► sly,Selayar,ᱥᱮᱞᱟᱭᱟᱨ
Selkup ► sel,Selkup,ᱥᱮᱞᱠᱟᱹᱯ
Sena ► seh,Sena,ᱥᱮᱱᱟ
Seneca ► see,Seneca,ᱥᱮᱱᱮᱠᱟ
Serbian ► sr,Serbian,ᱥᱟᱹᱨᱵᱤᱭᱟᱹᱱ
Serbian ► sr_ME,Montenegrin,ᱢᱚᱱᱴᱮᱱᱮᱜᱽᱨᱤᱱ
Serbo-Croatian ► sh,Serbo-Croatian,ᱥᱟᱹᱨᱵᱚᱼᱠᱨᱚᱮᱥᱤᱭᱟᱹᱱ
Serer ► srr,Serer,ᱥᱮᱨᱮᱨ
Seri ► sei,Seri,ᱥᱮᱨᱤ
Seselwa Creole French ► crs,Seselwa Creole French,ᱥᱮᱥᱮᱞᱣᱟ ᱠᱨᱮᱚᱞᱮ ᱯᱷᱨᱮᱧᱪ
Shambala ► ksb,Shambala,ᱥᱟᱹᱢᱵᱟᱞᱟ
Shan ► shn,Shan,ᱥᱟᱱ
Shona ► sn,Shona,ᱥᱚᱱᱟ
Sichuan Yi ► ii,Sichuan Yi,ᱥᱤᱪᱷᱩᱣᱟᱱ ᱭᱤ
Sicilian ► scn,Sicilian,ᱥᱟᱭᱪᱤᱞᱤᱭᱟᱹᱱ
Sidamo ► sid,Sidamo,ᱥᱤᱰᱟᱢᱚ
Siksika ► bla,Siksika,ᱥᱤᱠᱥᱤᱠᱟ
Silesian ► szl,Silesian,ᱥᱤᱞᱮᱥᱤᱭᱟᱱ
Sindhi ► sd,Sindhi,ᱥᱤᱱᱫᱷᱤ
Sinhala ► si,Sinhala,ᱥᱤᱱᱦᱟᱞᱟ
Skolt Sami ► sms,Skolt Sami,ᱥᱠᱚᱞᱴ ᱥᱟᱢᱤ
Slave ► den,Slave,ᱥᱞᱮᱣ
Slovak ► sk,Slovak,ᱥᱞᱚᱣᱟᱠ
Slovenian ► sl,Slovenian,ᱥᱞᱚᱣᱮᱱᱤᱭᱟᱱ
Soga ► xog,Soga,ᱥᱚᱜᱟ
Sogdien ► sog,Sogdien,ᱥᱚᱜᱽᱰᱤᱭᱟᱹᱱ
Somali ► so,Somali,ᱥᱚᱢᱟᱞᱤ
Soninke ► snk,Soninke,ᱥᱚᱱᱤᱱᱠᱮ
South Ndebele ► nr,South Ndebele,ᱠᱚᱸᱭᱮ ᱱᱮᱵᱮᱞᱮ
Southern Altai ► alt,Southern Altai,ᱠᱚᱸᱭᱮ ᱟᱹᱞᱛᱟᱭ
Southern Kurdish ► sdh,Southern Kurdish,ᱠᱚᱸᱭᱮ ᱠᱩᱨᱫᱤᱥ 
Southern Sami ► sma,Southern Sami,ᱠᱚᱸᱭᱮ ᱥᱟᱢᱤ
Southern Sotho ► st,Southern Sotho,ᱠᱚᱸᱭᱮ ᱥᱚᱛᱷᱚ
Spanish ► es,Spanish,ᱥᱯᱮᱱᱤᱥ
Spanish ► es_419,Latin American Spanish,ᱞᱮᱴᱤᱱ ᱟᱢᱮᱨᱤᱠᱟᱱ ᱥᱯᱮᱱᱤᱥ
Spanish ► es_ES,European Spanish,ᱭᱩᱨᱚᱯᱤᱭᱟᱹᱱ ᱥᱯᱮᱱᱤᱥ
Spanish ► es_MX,Mexican Spanish,ᱢᱮᱠᱥᱤᱠᱟᱱ ᱥᱯᱮᱱᱤᱥ
Sranan Tongo ► srn,Sranan Tongo,ᱥᱨᱟᱱᱟᱱ ᱴᱚᱝᱜᱚ
Standard Moroccan Tamazight ► zgh,Standard Moroccan Tamazight,ᱢᱟᱱᱚᱠ ᱢᱚᱨᱚᱠᱟᱱ ᱴᱟᱢᱟᱡᱤᱜᱷᱛ
Sukuma ► suk,Sukuma,ᱥᱩᱠᱤᱢᱟ
