Code,English,Santali (Ol Chiki)
Bulgarian ► bg,Bulgarian,ᱵᱩᱞᱜᱮᱨᱤ
Bulu ► bum,Bulu,ᱵᱩᱞᱩ
Buriat ► bua,Buriat,ᱵᱩᱨᱤᱭᱟᱹᱛ
Burmese ► my,Burmese,ᱵᱩᱨᱢᱤᱡᱽ
Burmese ► my-variant,Myanmar Language,ᱢᱭᱟᱱᱢᱟᱨ ᱯᱟᱹᱨᱤ
,,
,,
C,,
,,
Caddo ► cad,Caddo,ᱠᱟᱰᱚ
Cajun French ► frc,Cajun French,ᱠᱟᱡᱩᱱ ᱯᱷᱨᱮᱧᱪ
Cantonese ► yue,Cantonese,ᱠᱟᱱᱴᱚᱱᱤᱡᱽ
Cantonese ► yue-menu,"Chinese, Cantonese","ᱪᱟᱭᱱᱤᱡᱽ, ᱠᱟᱱᱴᱚᱱᱤᱡᱽ"
Capiznon ► cps,Capiznon,ᱠᱟᱯᱤᱡᱽᱱᱚᱱ
Carib ► car,Carib,ᱠᱟᱨᱤᱵ
Catalan ► ca,Catalan,ᱠᱟᱴᱞᱟᱱ
Cayuga ► cay,Cayuga,ᱠᱟᱭᱩᱜᱟ
Cebuano ► ceb,Cebuano,ᱥᱤᱵᱩᱟᱱᱚ
Central Atlas Tamazight ► tzm,Central Atlas Tamazight,ᱥᱮᱱᱴᱨᱟᱞ ᱮᱴᱞᱟᱥ ᱛᱟᱢᱟᱡᱟᱭᱮᱛ
Central Dusun ► dtp,Central Dusun,ᱥᱮᱱᱴᱨᱟᱞ ᱫᱩᱥᱩᱱ
Central Kurdish ► ckb,Central Kurdish,ᱥᱮᱱᱴᱨᱟᱞ ᱠᱩᱨᱫᱤᱥ
Central Kurdish ► ckb-menu,"Kurdish, Central",ᱠᱩᱨᱥᱮᱱᱴᱨᱟᱞ
Central Kurdish ► ckb-variant,"Kurdish, Sorani","ᱠᱩᱨᱜᱤᱥ, ᱥᱚᱨᱟᱢᱤ"
Central Yupik ► esu,Central Yupik,ᱥᱮᱱᱴᱨᱟᱞ ᱭᱩᱯᱤᱠ
Chadian Arabic ► shu,Chadian Arabic,ᱪᱟᱰᱤᱭᱟᱹᱱ ᱟᱹᱨᱮᱵᱤᱠ
Chagatai ► chg,Chagatai,ᱪᱷᱟᱜᱟᱴᱟᱭ
Chakma ► ccp,Chakma,ᱪᱷᱟᱹᱢᱠᱟ
Chamorro ► ch,Chamorro,ᱪᱷᱟᱢᱚᱨᱚ
Chechen ► ce,Chechen,ᱪᱷᱮᱪᱷᱮᱱ
Cherokee ► chr,Cherokee,ᱪᱷᱮᱨᱚᱠᱤ
Cheyenne ► chy,Cheyenne,ᱪᱷᱮᱭᱮᱱ
Chibcha ► chb,Chibcha,ᱪᱷᱤᱵᱪᱷᱟ
Chickasaw ► cic,Chickasaw,ᱪᱷᱤᱠᱟᱥᱚ
Chiga ► cgg,Chiga,ᱪᱷᱤᱜᱟ
Chimborazo Highland Quichua ► qug,Chimborazo Highland Quichua,ᱪᱷᱤᱢᱵᱚᱨᱟᱡᱚ ᱦᱟᱭᱞᱮᱸᱱᱰ ᱠᱣᱤᱪᱷᱩᱣᱟ
Chinese ► zh,Chinese,ᱪᱟᱭᱱᱤᱡᱽ
Chinese ► zh_Hans,Simplified Chinese,ᱟᱞᱜᱟᱣᱟᱠᱟᱱ ᱪᱟᱭᱱᱤᱡᱽ
Chinese ► zh_Hans-long,Simplified Mandarin Chinese,ᱟᱞᱜᱟᱣᱟᱠᱟᱱ ᱢᱟᱫᱟᱨᱤᱱ ᱪᱟᱭᱱᱤᱡᱽ
