Category	Santali	English	Odia	ᱨᱚᱱᱚᱲ	ᱢᱮᱱᱮᱛ																				
Human Relation	ᱱᱤᱡᱟ.ᱨ ᱯᱮᱲᱟ	relative																							
Human Relation	ᱠᱟᱴ ᱵᱟᱵᱟ	step father																							
Human Relation	ᱪᱷᱩᱴᱠᱤ ᱟᱭᱳ	step mother																							
Human Relation	ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ	step brother																							
Human Relation	ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ ᱠᱩᱲᱤ	step sister																							
Human Relation	ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ ᱮᱨᱟ	step daughter																							
Human Relation	ᱪᱷᱩᱴᱠᱤ ᱦᱚᱯᱚᱱ	step son																							
Human Relation	ᱦᱤᱞᱤ	maternal sister																							
Human Relation	#	%																							
Human Relation	#	%																							
Human Relation	#	%																							
Human Relation	#	%																							
Human Relation	#	%																							
Human Relation	#	%																							
Human Relation	#	%																							
Human Relation	#	%																							
Human Relation	#	%																							
Human Relation	#	%																							
Human Relation	#	%																							
																									
Temple	ᱠᱟᱹᱣᱰᱤ ᱮᱝᱜᱟ	sea shell																							
Temple	ᱯᱩᱡᱟᱹ	puja																							
Temple	ᱢᱚᱱᱫᱤᱨ	temple																							
Temple	ᱢᱩᱨᱛᱤ	statue																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
Temple	#	%																							
																									
Colour	ᱦᱮᱸᱫᱮ	black																							
Colour	ᱞᱤᱞ	blue																							
Colour	ᱟᱨᱟᱜ	red																							
Colour	ᱦᱟ.ᱨᱤᱭᱟ.ᱲ	green																							
Colour	ᱯᱩᱸᱰ	white																							
Colour	ᱥᱟᱥᱟᱝ	yellow																							
Colour	ᱢᱟᱴᱤᱭᱟᱲ	brown																							
Colour	ᱜᱮᱨᱩᱟ	orange																							
Colour	ᱵᱮᱱᱜᱩᱱᱤ	brinjal																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
Colour	#	%																							
																									
																									
																									
Eatables	ᱦᱩᱲᱩ	grain		Noun																					
Eatables	ᱟᱪᱟᱨ	pickle		Noun																					
Eatables	ᱥᱩᱡᱤ	semolina		Noun																					
Eatables	ᱚᱴᱟ	flour		Noun																					
Eatables	ᱤᱞᱟ.ᱭᱪᱤ	comfit		Noun																					
Eatables	ᱛᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱪᱟᱭ	coffee		Noun																					
Eatables	ᱛᱚᱣᱟ	milk		Noun																					
Eatables	ᱮᱥᱠᱨᱮᱢ	ice-cream		Noun																					
Eatables	ᱜᱩᱦᱩᱢ	wheat		Noun																					
