Category	Santali	English	Odia	ᱨᱚᱱᱚᱲ	ᱢᱮᱱᱮᱛ																				
Number (Numeric till 100, Words till 100 )	᱘᱓	83		Number																					
Number (Numeric till 100, Words till 100 )	᱘᱔	84		Number																					
Number (Numeric till 100, Words till 100 )	᱘᱕	85		Number																					
Number (Numeric till 100, Words till 100 )	᱘᱖	86		Number																					
Number (Numeric till 100, Words till 100 )	᱘᱗	87		Number																					
Number (Numeric till 100, Words till 100 )	᱘᱘	88		Number																					
Number (Numeric till 100, Words till 100 )	᱘᱙	89		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱐	90		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱑	91		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱒	92		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱓	93		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱔	94		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱕	95		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱖	96		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱗	97		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱘	98		Number																					
Number (Numeric till 100, Words till 100 )	᱙᱙	99		Number																					
Number (Numeric till 100, Words till 100 )	᱑᱐᱐	100		Number																					
Number (Numeric till 100, Words till 100 )	ᱥᱩᱱᱭᱚ	zero		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱤᱫ	one		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ	two		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ	three		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ	four		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ	five		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ	six		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ	seven		Number																					
Number (Numeric till 100, Words till 100 )	ᱤᱨᱟ.ᱞ	eight		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ	nine		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ	ten		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ ᱢᱤᱫ	eleven		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ ᱵᱟᱨ	twelve		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ ᱯᱮ	thirteen		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ ᱯᱤᱱ	fourteen		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ ᱢᱚᱸᱬᱮ	fifteen		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ ᱛᱩᱨᱩᱭ	sixteen		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ ᱮᱭᱟᱭ	seventeen		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ ᱤᱨᱟ.ᱞ	eighteen		Number																					
Number (Numeric till 100, Words till 100 )	ᱜᱮᱞ ᱟᱨᱮᱞ	nineteen		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ	twenty		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ ᱢᱤᱫ	twenty one		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ ᱵᱟᱨ	twenty two		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ ᱯᱮ	twenty three		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ ᱯᱩᱱ	twenty four		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ ᱢᱚᱸᱬᱮ	twenty five		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ ᱛᱩᱨᱩᱭ	twenty six		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ ᱮᱭᱟᱭ	twenty seven		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ ᱤᱨᱟ.ᱞ	twenty eight		Number																					
Number (Numeric till 100, Words till 100 )	ᱵᱟᱨ ᱜᱮᱞ ᱟᱨᱮᱞ	twenty nine		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ	thirty		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ ᱢᱤᱫ	thirty one		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ	thirty two		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ ᱯᱮ	thirty three		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ ᱯᱩᱱ	thirty four		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ ᱢᱚᱸᱮ	thirty five		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ	thirty six		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ	thirty seven		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ ᱤᱨᱟ.ᱞ	thirty eight		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱮ ᱜᱮᱞ ᱟᱨᱮᱞ	thirty nine		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ ᱜᱮᱞ	forty		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ ᱜᱮᱞ ᱢᱤᱫ	forty one		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ ᱜᱮᱞ ᱵᱟᱨ	forty two		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ ᱜᱮᱞ ᱯᱮ	forty three		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ ᱜᱮᱞ ᱯᱩᱱ	forty four		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩ ᱜᱮᱞ ᱢᱚᱬᱮ	forty five		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ	forty six		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ ᱜᱮᱞ ᱮᱭᱟᱭ	forty seven		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ ᱜᱮᱞ ᱤᱨᱟ.ᱞ	forty eight		Number																					
Number (Numeric till 100, Words till 100 )	ᱯᱩᱱ ᱜᱮᱞ ᱟᱨᱮᱞ	forty nine		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ	fifty		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱢᱤᱫ	fifty one		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱵᱟᱨ	fifty two		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱯᱮ	fifty three		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱯᱩᱱ	fifty four		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱢᱚᱸᱬᱮ	fifty five		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ	fifty six		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱮᱭᱟᱭ	fifty seven		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱤᱨᱟ.ᱞ	fifty eight		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱟᱨᱮᱞ	fifty nine		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ	sixty		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱤᱫ	sixty one		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱵᱟᱨ	sixty two		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱮ	sixty three		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱩᱱ	sixty four		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱚᱸᱬᱮ	sixty five		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ	sixty six		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱮᱭᱟᱭ	sixty seven		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱤᱨᱟ.ᱞ	sixty eight		Number																					
Number (Numeric till 100, Words till 100 )	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱟᱨᱮᱞ	sixty nine		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ	seventy		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱤᱫ	seventy one		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ ᱵᱟᱨ	seventy two		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱮ	seventy three		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱩᱱ	seventy four		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱸᱬᱮ	seventy five		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ	seventy six		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ	seventy seven		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ ᱤᱨᱟ.ᱞ	seventy eight		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱭᱟᱭ ᱜᱮᱞ ᱟᱨᱮᱞ	seventy nine		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ	eighty		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱢᱤᱫ	eighty one		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱵᱟᱨ	eighty two		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱯᱮ	eighty three		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱯᱩᱱ	eighty four		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱢᱚᱸᱬᱮ	eighty five		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ	eighty six		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱮᱭᱟᱭ	eighty seven		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱤᱨᱟ.ᱞ	eighty eight		Number																					
Number (Numeric till 100, Words till 100 )	ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱟᱨᱮᱞ	eighty nine		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ	ninety		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ ᱢᱤᱫ	ninety one		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ ᱵᱟᱨ	ninety two		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ ᱯᱮ	ninety three		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ ᱯᱩᱱ	ninety four		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ ᱢᱚᱸᱬᱮ	ninety five		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ	ninety six		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ ᱮᱭᱟᱭ	ninety seven		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ ᱤᱨᱟ.ᱞ	ninety eight		Number																					
Number (Numeric till 100, Words till 100 )	ᱟᱨᱮᱞ ᱜᱮᱞ ᱟᱨᱮᱞ	ninety nine		Number																					
Number (Numeric till 100, Words till 100 )	ᱢᱤᱫ ᱥᱟᱭ	one hundred		Number																					
																									
																									
																									
																									
																									
																									
Language	ᱥᱟᱱᱛᱟᱲᱤ	Santali		Noun																					
Language	ᱥᱟᱱᱛᱟᱞᱤ	Santali		Noun																					
Language	ᱥᱟᱱᱛᱷᱟᱞᱤ	Santhali		Noun																					
Language																									
Language	ᱦᱤᱱᱫᱤ			Noun																					
Language	ᱵᱮᱝᱜᱚᱞᱤ 			Noun																					
Language	ᱳᱰᱤᱭᱟ, ᱳᱨᱤᱭᱟ			Noun																					
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
Language																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
Human Body Parts																									
Human Body Parts																									
Human Body Parts																									
Human Body Parts																									
Human Body Parts																									
Human Body Parts																									
Human Body Parts																									
Human Body Parts																									
Human Body Parts																									
Human Body Parts																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
