Code,English,Santali
few,Take the {0}rd right.,{0} ᱡᱚᱡᱚᱢ ᱤᱫᱤ ᱢᱮ 
one,Take the {0}st right.,{0} ᱡᱚᱡᱚᱢ ᱤᱫᱤ ᱢᱮ
other,Take the {0}th right.,{0} ᱠᱚ ᱡᱚᱡᱚᱢ ᱤᱫᱤ ᱢᱮ
two,Take the {0}nd right.,{0} ᱠᱤᱱ ᱡᱚᱡᱚᱢ ᱤᱫᱤ ᱢᱮ
Plural,,
one,{0} cow,{0} ᱰᱟᱹᱝᱜᱽᱨᱤ
other,{0} cows,{0} ᱰᱟᱹᱝᱜᱽᱨᱤ ᱠᱚ
two,{0} cow,{0} ᱰᱟᱹᱝᱜᱽᱨᱤ ᱠᱤᱱ
