Sl. No.,S.N,Santali Latin,SANTALI
225,Flemingia congesta,"bit buṭ, buru ekasrirạ nạ̃ṛi","ᱵᱤᱴ ᱵᱩᱴ, ᱵᱩᱨᱩ ᱮᱠᱟᱥᱨᱤᱨᱟᱹ ᱱᱟᱺᱲᱤ"
226,Flemingia nana,o̱t murup̕,ᱳᱛ ᱢᱩᱨᱩᱯ
227,Gardenia turgida,ḍuṇḍukit̕,ᱰᱩᱱᱰᱩᱠᱤᱛ
228,Gardenia latifolia,popṛo,ᱯᱚᱯᱲᱚ
229,Garuga pinnata,kaṇḍwer,ᱠᱟᱱᱰᱣᱮᱨ
230,Gloriosa orixensis,saparatiń,ᱥᱟᱯᱟᱨᱟᱛᱤᱧ
231,Gloriosa superba,"selep̕ samanom, sinic̕ samaniom baha","ᱥᱮᱞᱮᱯ ᱥᱟᱢᱟᱱᱚᱢ, ᱥᱤᱱᱤᱡ ᱥᱟᱢᱟᱸᱱᱤᱭᱚᱢ ᱵᱟᱦᱟ"
232,Glossogyne pinnatifida,baraṅgom,ᱵᱟᱨᱟᱝᱜᱚᱢ
233,Glycine soja,"disom ho̱ṛe̱c̕, poṇḍ disom ho̱ṛe̱c̕","ᱫᱤᱥᱚᱢ ᱦᱚᱲᱚᱠ, ᱯᱚᱱᱰ ᱫᱤᱥᱚᱢ ᱦᱳᱲᱮᱪ"
234,Gmelina arborea,kasmar,ᱠᱟᱥᱢᱟᱨ
235,Gnaphalium indicum,"tagot̕ aṛak̕, togot̕ aṛak̕","ᱴᱟᱜᱚᱛ ᱟᱲᱟᱜ, ᱴᱟᱜᱚᱛ ᱟᱲᱟᱜ"
236,Gomphrena globosa,ḍuńḍuń baha,ᱰᱩᱝᱰᱩᱝ ᱵᱟᱦᱟ
237,Gossypium neglectum,bhoga kasko̱m,ᱵᱷᱚᱜᱟ ᱠᱟᱥᱠᱳᱢ
238,Gossypium herbaceum,buḍhi kasko̱m,ᱵᱩᱰᱷᱤ ᱠᱟᱥᱠᱚᱢ
239,Gossypium arboreum,"jurguḍạ kasko̱m, koca kasko̱m, dare kasko̱m","ᱡᱩᱨᱜᱩᱲᱟᱹ ᱠᱟᱥᱡᱳᱢ, ᱠᱚᱪᱟ ᱠᱟᱥᱠᱳᱢ, ᱫᱟᱨᱮ ᱠᱟᱥᱠᱳᱢ"
240,Grewia campbelii (sic - Grewia campbellii),bạrsạ pakor,ᱵᱟᱹᱨᱥᱟᱹ ᱯᱟᱠᱚᱨ
241,Grewia asiatica,jaṅ olat̕,ᱠᱟᱝ ᱚᱞᱟᱛ
242,Grewia vestita,olat̕,ᱚᱞᱟᱛ
243,Grewia taliaefolia (sic - Grewia tiliaefolia),olat̕,ᱚᱞᱟᱛ
244,Grewia polygama,"seta ạndir, seta ãṛga, seta kaṭa","ᱥᱮᱛᱟ ᱟᱹᱫᱷᱤᱨ, ᱥᱮᱛᱟ ᱟᱸᱲᱜᱟ, ᱥᱮᱛᱟ ᱠᱟᱴᱟ"
245,Grewia villosa,tarse koṭap,ᱛᱟᱨᱥᱮ ᱠᱚᱴᱟᱯ
246,Guizotia abyssynica (sic - Guizotia abyssinica),surguja,ᱥᱩᱨᱜᱩᱡᱟᱹ
247,Gymnema hirsutus,mo̱ro̱n aṛak̕,ᱢᱳᱨᱚᱝ ᱟᱲᱟᱜ
248,Gynandropsis pentaphylla,seta kaṭa aṛak̕,ᱥᱮᱛᱟ ᱠᱟᱴᱟ ᱟᱲᱟᱜ
249,Heilanthus annuus,"surạj mukhi,suruj mukhi","ᱥᱩᱨᱟᱹᱡ ᱢᱩᱠᱷᱤ, ᱥᱩᱨᱟᱹᱡ ᱢᱩᱠᱷᱤ"
250,Helicteres isora,peṭcamṛa,ᱯᱮᱴᱠᱟᱢᱵᱽᱲᱟ
251,Heteropogon contortus,sạuṛi ghãs,ᱥᱟᱹᱣᱲᱤ ᱜᱷᱟᱸᱥ
252,Hibiscus sabdariffa,"ambaṛo arak̕ kudrum, coromokoc̕","ᱟᱢᱵᱟᱲᱚ ᱟᱨᱟᱜ ᱠᱩᱰᱨᱩᱢ, ᱪᱚᱨᱚᱢᱚᱠᱚᱪ"
253,Hibiscus cancellatus,bheḍwa,ᱵᱷᱮᱰᱣᱟ
254,Hibiscus cannabinus,"dare kudrum, paṭ son","ᱫᱟᱨᱮ ᱠᱩᱰᱨᱩᱢ,ᱯᱟᱹᱨ ᱥᱚᱱ"
255,Hibiscus esculentus,ram jhingạ,ᱨᱟᱢ ᱡᱷᱤᱝᱜᱟᱹ
256,Hibiscus rosasinensis,joba baha,ᱡᱚᱵᱟ ᱵᱟᱦᱟ
257,Hiptage madablota,san karla,ᱥᱟᱱ ᱠᱟᱨᱞᱟ
258,Holmskioldia sanguinea,jhimbria,ᱡᱷᱤᱢᱵᱽᱨᱤᱭᱟᱹ
259,Hordeum vulgare,jao,ᱡᱟᱣ
260,Hygrophilla spinosa,"gokhla jạnum, gokhulạ jạnum, gukhla jạnum","ᱜᱚᱠᱷᱞᱟᱹ ᱡᱟᱹᱱᱤᱢ, ᱜᱚᱠᱷᱩᱞᱟᱹ ᱡᱟᱹᱱᱩᱢ, ᱜᱩᱠᱷᱞᱟᱹ ᱡᱟᱹᱱᱩᱢ"
261,Hygrophila salicifolia,matko̱m aṛak̕,ᱢᱟᱛᱠᱚᱢ ᱟᱲᱟᱜ
262,Hymenodiction excelsum,bhorkoṇd,ᱵᱷᱚᱨᱠᱚᱱᱰ
263,Hyptis suaveolens,gaṅga tulsi,ᱜᱟᱹᱝᱜᱟ ᱛᱩᱞᱥᱤ
264,Ichnocarpus frutescens,"dudhi loṭa, ghiu chimbṛi, nanba dudhi loṭa","ᱫᱩᱫᱷᱤ ᱞᱚᱛᱟ, ᱜᱷᱤᱣ ᱪᱤᱢᱵᱲᱤ, ᱱᱟᱱᱦᱟ ᱫᱩᱫᱷᱤ ᱞᱚᱛᱟ"
265,Imperata arundinacea,cero,ᱪᱮᱨᱚ
266,Indigofera pulchella,"dare huṭer, huṭer","ᱫᱟᱨᱮ ᱦᱩᱴᱮᱲ,ᱦᱩᱴᱮᱲ"
267,Indigofera tinctoria,"lil, nil","ᱞᱤᱞ, ᱱᱤᱞ"
268,Indigofera linifolia,ṭạṇḍi khode baha,ᱴᱟᱹᱱᱰᱤ ᱠᱷᱚᱰᱮ ᱵᱟᱦᱟ
269,Ionidium suffruticosum,"bir surạj mukhi, ṭạṇḍi sol","ᱵᱤᱨ ᱥᱩᱨᱟᱹᱡ ᱢᱩᱠᱷᱤ, ᱴᱟᱹᱱᱰᱤ ᱥᱳᱞ"
270,Iphegenia indica,cuṭoạ caṇḍbo̱l,ᱪᱩᱴᱚᱣᱟᱹ ᱪᱟᱹᱱᱰᱵᱚᱞ
271,Ipomaea turpethum (sic - Ipomoea turpethum),bana etka,ᱵᱟᱱᱟ ᱮᱴᱠᱟ
272,Ipomoea pestigridis,coṭo lutur,ᱪᱚᱴᱚ ᱞᱩᱛᱩᱨ
273,Ipomoea speciosa,kaṛmbi aṛak̕,ᱠᱟᱹᱲᱢᱵᱤ ᱟᱲᱟᱜ
274,Ipomoea quamoclit,kindiń baha,ᱠᱤᱱᱰᱤᱧ ᱵᱟᱦᱟ
275,Ipomoea batatas,sakarkenda,ᱥᱟᱠᱟᱨᱠᱮᱱᱫᱟ
276,Ischaemum rugosum,mạrṇḍi,ᱢᱟᱹᱨᱱᱰᱤ
277,Ixora parviflora,me̱ro̱m mẽ̱t̕,ᱢᱮᱨᱚᱢ ᱢᱮᱸᱛ
278,Jasminum arborescens,gaḍa hund baha,ᱜᱟᱰᱟ ᱦᱩᱱᱰ ᱵᱟᱦᱟ
279,Jatropha curcus,bherṇḍa,ᱵᱷᱮᱨᱱᱰᱟ
280,Juglans regia,"akhroṭ, akroṭ","ᱟᱠᱷᱨᱚᱴᱷ, ᱟᱠᱨᱚᱴᱷ"
281,Jussiaea suffruticosa,dak̕ icạk̕,ᱫᱟᱜ ᱤᱪᱟᱹᱜ
282,Jussloca suffruticosa (sic - Jessica suffruticosa),petra da,ᱯᱮᱴᱨᱟ ᱫᱟ
283,Justicia belonica,tayar baha,ᱛᱟᱭᱟᱨ ᱵᱟᱦᱟ
284,Kydia calycina,"phoska olat̕, poska olat̕","ᱯᱷᱚᱥᱠᱟ ᱚᱞᱟᱛ, ᱯᱚᱚᱥᱠᱟ ᱚᱞᱟᱛ"
285,Laffa. Acutangula,jhiṅgạ,ᱡᱷᱤᱝᱜᱟᱹ
286,Lagenaria vulgaris,kạdu,ᱠᱟᱹᱰᱩ
287,Laggera flava,"bir surguja, bir tuṛi",ᱵᱤᱨ ᱥᱩᱨᱜᱩᱡᱟᱹ ᱵᱤᱨ ᱛᱩᱲᱤ
288,Largestroemia parviflora,sekrec̕,ᱥᱮᱠᱨᱮᱪ
289,Lasia heterophylla,"kaṇṭa sạru, sạru","ᱠᱟᱱᱴᱟ ᱥᱟᱹᱨᱩ, ᱥᱟᱹᱨᱩ"
290,Lathyrus sativus,"kesạri, khasạri, khesari","ᱥᱮᱥᱟᱹᱲᱤ,ᱠᱷᱟᱥᱟᱹᱨᱤ, ᱠᱷᱮᱥᱟᱨᱤ"
291,Laurus cassia,tejpat,ᱛᱮᱡᱯᱟᱛ
292,Lawsonia alba,"mehni dare, mihindi dare","ᱢᱮᱱᱮᱱᱫᱤ ᱫᱟᱨᱮ, ᱢᱤᱦᱤᱱᱫᱤ ᱫᱟᱨᱮ"
293,Lebedieropsis orbiculari,kargạli,ᱠᱟᱨᱜᱟᱹᱞᱤ
294,Leea macrophylla,hạtkan,ᱦᱟᱹᱨᱠᱟᱱ
295,Leea hirta,ḍitiạ hạtkan,ᱰᱤᱴᱤᱭᱟᱹ ᱦᱟᱹᱴᱠᱟᱱ
296,Leonates nepetaefolia (sic - Leonotis nepetifolia),"boṅga bạrchi, dare ḍhompo, jạnum ḍhomo","ᱵᱚᱝᱜᱟ ᱵᱟᱹᱨᱪᱷᱤ, ᱫᱟᱨᱮ ᱰᱷᱚᱢᱯᱚ, ᱡᱟᱹᱱᱩᱢ ᱰᱷᱚᱢᱚ"
297,Lepidagathis cristata,o̱t ḍhompo,ᱚᱛ ᱰᱷᱚᱢᱳᱯᱚ
298,Lepidium sativum,hạlim,ᱦᱟᱹᱞᱤᱢ
299,Leucas cephalotes,ạṇḍiạ dhurup aṛak̕,ᱟᱹᱱᱰᱤᱭᱟᱹ ᱰᱷᱩᱨᱩᱯ ᱟᱲᱟᱜ
300,Leucas clarkei,eńga dhurup aṛak̕,ᱮᱝᱜᱟ ᱰᱷᱩᱨᱩᱯ ᱟᱲᱟᱜ
301,Leucas mollissima,gitil aṛak̕,ᱜᱤᱛᱤᱞ ᱟᱲᱟᱜ
302,Limnophilla conferta (sic - Limnophila conferta),moṭa hemca aṛak̕,ᱢᱚᱴᱟ ᱦᱮᱢᱪᱟ ᱟᱲᱟᱜ
303,Limnophilla gratioloides (sic - Limnophila gratioloides),nanha hemca aṛak̕,ᱱᱟᱱᱦᱟ ᱦᱮᱢᱪᱟ ᱟᱲᱟᱜ
304,Limnophilla roxburghiana (sic - Limnophila roxburghiana),"akaṛ baha, kalha baha","ᱟᱲᱟᱜ ᱵᱟᱦᱟ, ᱠᱟᱞᱦᱟ ᱵᱟᱦᱟ"
305,Linum usitatissimum,"cikno, ṭhisi, ṭhisiạ, ṭisi, ṭisiạ","ᱪᱤᱠᱱᱚ, ᱴᱷᱤᱥᱤ, ᱴᱷᱤᱥᱤᱭᱟᱹ, ᱴᱤᱥᱤ, ᱴᱤᱥᱤᱭᱟᱹ"
306,Lobelia trigonia,cạ̃uric̕ aṛak̕,ᱪᱟᱺᱩᱨᱤᱪ ᱟᱲᱟᱜ
307,Loranthus buddeoides,icạk̕ bando,ᱤᱪᱟᱹᱜ ᱵᱟᱱᱰᱳ
308,Luffa acutangula,paro̱ṛ jhiṅgạ,ᱯᱟᱨᱚᱲ ᱡᱷᱤᱝᱜᱟᱹ
309,Lygodium flexuosum,badgocak̕,ᱵᱟᱰᱜᱚᱪᱟᱜ
310,Mallotus phillipinensis,roṛa,ᱨᱚᱲᱟ
311,Mangifera indica,ul,ᱩᱞ
312,Marsilia quadrifolia,"cato̱m aṛak̕, dak̕ sunsuni, sunsuni","ᱪᱟᱛᱚᱢ ᱟᱲᱟᱜ, ᱫᱟᱜ ᱥᱩᱱᱥᱩᱱᱤ, ᱥᱩᱱᱥᱤᱱᱤ"
313,Martynia diandra,baglucạ,ᱵᱟᱜᱞᱩᱪᱟᱹ
314,Melia azedarach,bo̱ko̱m baha,ᱵᱚᱠᱚᱢ ᱵᱟᱦᱟ
315,Melia azadirachta,nim,ᱱᱤᱢ
316,Melochia chorchorifolia,thuiạk̕ aṛak̕,ᱛᱷᱩᱭᱟᱹᱜ ᱟᱲᱟᱜ
317,Mezoneurum cucullatum,"bạghin jạnum, bạghin jhạwạ","ᱵᱟᱹᱜᱷᱤᱱ ᱡᱟᱹᱱᱩᱢ, ᱵᱟᱹᱜᱷᱤᱱ ᱡᱷᱟᱹᱣᱟᱹ"
318,Miliusa velutina,"kome, ome","ᱠᱚᱢᱮ, ᱚᱢᱮ"
319,Millettia auriculata,hẽ̱hẽ̱l,ᱦᱮᱸᱦᱮᱸᱞ
320,Mimosa rubicaulis,sega jạnum,ᱥᱮᱜᱟ ᱡᱟᱹᱱᱩᱢ
321,Momordica dioica,"kacan aṛak̕, karla","ᱠᱟᱪᱟᱱ ᱟᱲᱟᱜ, ᱠᱟᱨᱞᱟ"
322,Mongeotea immersa,sealom,ᱥᱤᱭᱟᱹᱞᱚᱢ
323,Monochoria plantaginea,seta pan,ᱥᱮᱛᱟ ᱯᱟᱱ
324,Morinda tinctoria,chạili,ᱪᱷᱟᱹᱭᱞᱤ
325,Moringa pterygosperma,"mungạ, mungạ aṛak̕, suṭi","ᱢᱩᱱᱜᱟᱹ, ᱢᱩᱱᱜᱟᱹ ᱟᱲᱟᱜ, ᱥᱩᱛᱤ"
326,Mucuna puriens,etka,ᱮᱴᱠᱟ
327,Murraya exotica,aṭhel,ᱟᱴᱷᱮᱞ
328,Musa paradisiaca,kaera,ᱠᱟᱭᱨᱟ
329,Nelsonia campestris,jugitopa baha,ᱡᱩᱜᱤᱴᱚᱯᱟ ᱵᱟᱦᱟ
330,Nerium odorum,"poṇḍ raj baha, raj baha","ᱯᱩᱱᱰ ᱨᱟᱡ ᱵᱟᱦᱟ, ᱴᱟᱡᱽ ᱵᱟᱦᱟ"
331,Nycanthus arbor-tristis,saparo̱m,ᱥᱟᱯᱟᱨᱳᱢ
332,Nymphoea lotus,"poraeni, upạl baha, upel baha","ᱯᱚᱨᱟᱭᱱᱤ, ᱩᱯᱟᱹᱞ ᱵᱟᱦᱟ, ᱩᱯᱮᱞ ᱵᱟᱦᱟ"
333,Ochna squarosa,campa baha,ᱪᱟᱢᱯᱟ ᱵᱟᱦᱟ
334,Ocimum basilicum,"bharbhạri, ḍimbu baha, kạpir mạli baha, mạli baha, mondor muli baha","ᱵᱷᱟᱨᱵᱷᱟᱨᱤ, ᱰᱷᱤᱢᱯᱩ ᱵᱟᱦᱟ, ᱠᱟᱹᱯᱤᱨ ᱢᱟᱹᱞᱤ ᱵᱟᱦᱟ, ᱢᱟᱹᱞᱤ ᱵᱟᱦᱟ, ᱢᱚᱱᱫᱚᱨ ᱢᱟᱹᱞᱤ ᱵᱟᱦᱟ"
335,Ocimum canum,bharbhạri,ᱵᱷᱟᱨᱵᱟᱹᱲᱤ
336,Ocimum sanctum,tulsi dare,ᱛᱩᱞᱥᱤ ᱫᱟᱨᱮ
337,Odina wodier,ḍoka,ᱰᱚᱠᱟ
338,Olax nana,me̱ro̱m mẽ̱t̕,ᱢᱮᱨᱚᱢ ᱢᱮᱫ
339,Oldenlandia senegalensis,iliń ciń,ᱤᱞᱤᱧ ᱧᱤᱱ
340,Opioglossum vulgare,o̱t poraeni,ᱚᱛ ᱯᱚᱨᱟᱭᱱᱤ
341,Opuntia dillenii,sạpin dare,ᱥᱟᱹᱯᱤᱱ ᱫᱟᱨᱮ
342,Orobanche indica,tuṛi sim,ᱛᱩᱲᱤ ᱥᱤᱢ
343,Oroxylon indicum,bana haṭak̕,ᱵᱟᱱᱟ ᱴᱟᱴᱟᱜ
344,Oryza sativa,"hoṛo, uṛi hoṛo","ᱦᱚᱲᱚ, ᱩᱨᱤ ᱦᱚᱲᱚ"
345,Ougenia dalbergioides,rot,ᱨᱚᱴ
346,Pandanus odoratissimus,kiạ baha,ᱠᱤᱭᱟᱹ ᱵᱟᱦᱟ
347,Panicum colonum (syn - Echinochloa colona),"bare baḍwarak̕, bạri baḍwak̕, sama ghãs","ᱵᱟᱲᱮ ᱵᱟᱲᱣᱟᱨᱟᱜ, ᱵᱟᱹᱨᱤ ᱵᱟᱲᱣᱟᱜ, ᱥᱟᱢᱟ ᱜᱷᱟᱥ"
348,Panicum stagninum,"dal, do̱l","ᱫᱟᱞ, ᱰᱳᱞ"
349,Panicum miliare,gundli,ᱜᱩᱱᱰᱞᱤ
350,Panicum antidotale,layo gundli,ᱞᱟᱭᱚ ᱜᱩᱱᱰᱞᱤ
351,Panicum crus-galli,"iṛi, ko̱ko̱r jaṅga iṛi","ᱤᱲᱤ, ᱠᱳᱠᱳᱨ ᱡᱟᱝᱜᱟ ᱤᱲᱤ"
352,Panicum flavidum,jera janhe,ᱡᱮᱨᱟ ᱡᱟᱱᱦᱮ
353,Panicum helopus,moṭa gundli,ᱢᱚᱴᱟ ᱜᱩᱱᱰᱞᱤ
354,Panicum vestitum,nạ̃ṛi ghãs,ᱱᱟᱸᱲᱤ ᱜᱷᱟᱸᱥ
355,Panicum repens,adagaṭhiạ,ᱟᱲᱟᱜᱟᱹᱴᱷᱤᱭᱟᱹ
356,Paspalum scrobiculatum,janhe,ᱡᱟᱱᱦᱮ
357,Pavetta indica,"buḍhi ghạsic̕, buḍhi tilại","ᱵᱩᱰᱷᱤ ᱜᱷᱟᱹᱥᱤᱪ, ᱵᱩᱰᱷᱤ ᱛᱤᱞᱟᱹᱭᱤ"
358,Pencilaria spicata,"leṇḍha, leńjha","ᱞᱮᱱᱰᱷᱟ, ᱞᱮᱧᱡᱷᱟ"
359,Pennisetum typhoideum,"leṇḍha, leńjha","ᱞᱮᱱᱰᱷᱟ, ᱞᱮᱧᱡᱷᱟ"
360,Pentapetes phaenicia,baṛe baha,ᱵᱟᱲᱮ ᱵᱟᱦᱟ
361,Phaseolus aconitifolius,"alpạluạ, bir alpạluạ, mõ̱c","ᱟᱞᱯᱟᱹᱞᱩᱣᱟᱹ , ᱵᱤᱨ ᱟᱹᱞᱯᱟᱹᱞᱩᱣᱟᱹ , ᱢᱚᱸᱪ"
362,Phaseolus mungo,"birsaṅ, muṅ, rambṛa","ᱵᱤᱨᱥᱟᱝ, ᱢᱩᱝ, ᱨᱟᱢᱵᱲᱟ"
363,Phaseolus calcaratus,sutri,ᱥᱩᱛᱨᱤ
364,Phoenix sylvestris,khihur,ᱠᱷᱤᱦᱩᱨ
365,Phyllanthus lanceoiarius,bạ̃ṛĩạ̃ kaṇḍhum,ᱵᱟᱺᱨᱤᱭᱟᱺ ᱠᱟᱱᱰᱷᱩᱢ
366,Phyllanthus juniperinoides,jhãwar khaṇḍera,ᱡᱷᱟᱣᱟᱨ ᱠᱷᱟᱱᱰᱮᱨᱟ
367,Phyllanthus emblica,meral,ᱢᱮᱨᱟᱞ
368,Phyllanthus multilocularis,nanha bạ̃ṛiạ̃ kạṇḍhum,ᱱᱟᱱᱦᱟ ᱵᱟᱺᱲᱤᱭᱟᱹ ᱠᱟᱹᱱᱰᱷᱩᱢ
369,Phyllanthus simplex,ṭạṇḍi meral,ᱴᱟᱹᱱᱰᱤ ᱢᱮᱨᱟᱞ
370,Phyllanthus urinaria,ṭạṇḍi meral,ᱴᱟᱹᱱᱰᱤ ᱢᱮᱨᱟᱞ
371,Physalis minima,"hạṇḍi kuṇḍi, ṭho̱c̕","ᱦᱟᱹᱱᱰᱤ ᱠᱩᱱᱰᱤ, ᱴᱷᱚᱠ"
372,Pimpinella anisum,"muhri, panmuhri","ᱢᱩᱦᱨᱤ, ᱯᱟᱱᱢᱩᱦᱨᱤ"
373,Piper betle,pan,ᱯᱟᱱ
374,Piper longa,rạli,ᱨᱟᱹᱞᱤ
375,Piper nigrum,"gol mạric, golki mạric","ᱜᱩᱞ ᱢᱟᱹᱨᱤᱪ, ᱜᱚᱞᱠᱤ ᱢᱟᱹᱨᱤᱪ"
376,Pisum arvense,"maṭor, mo̱ṭo̱r","ᱢᱟᱴᱚᱨ, ᱢᱳᱴᱳᱨ"
377,Pisum sativum,"maṭor, mo̱ṭo̱r","ᱢᱟᱴᱳᱨ, ᱢᱳᱴᱳᱨ"
378,Plumbago zelanica,"citạr kạthi, jog kạṭhi","ᱪᱤᱛᱟᱹᱨ ᱠᱟᱹᱴᱷᱤ, ᱡᱚᱜᱽ ᱠᱟᱹᱴᱷᱤ"
379,Plumeria acutifolia,gulańj baha,ᱜᱩᱠᱟᱧᱡ ᱵᱟᱦᱟ
380,Pogonatherum saccharoideum,boṅga care̱c̕,ᱵᱚᱝᱜᱟ ᱪᱮᱨᱮᱪ
381,Pollinia eriopoda,bạcko̱m,ᱵᱟᱪᱠᱚᱢ
382,Polyalthia cerasoides,pańjom,ᱯᱟᱧᱡᱚᱢ
383,Polycarpoea corymbosa,janhe nańjo̱m,ᱡᱟᱱᱦᱮ ᱱᱟᱧᱡᱚᱢ
384,Polygala chinensis,gại ghurạ,ᱜᱟᱹᱭᱤ ᱜᱷᱩᱨᱟᱹ
385,Polygala crotalarioides,lilkạṭhi,ᱞᱤᱞᱠᱟᱹᱴᱷᱤ
386,Polygonum plebejum,muc̕ aṛak̕,ᱢᱩᱪ ᱟᱲᱟᱜ
387,Polygonum indicum,rạniphul,ᱨᱟᱹᱱᱤᱯᱷᱩᱞ
388,Polygonum glabrum,sạuṛi aṛak̕,ᱥᱟᱹᱣᱲᱤ ᱟᱲᱟᱜ
389,Pongamia glabra,"ko̱ro̱ńj, kuruńj","ᱠᱳᱚᱯᱧᱡ, ᱠᱩᱨᱩᱧᱡᱽ"
390,Ponzolzia pentandra,icạk̕ aṛak̕,ᱤᱪᱟᱹᱜ ᱟᱲᱟᱜ
391,Porana paniculata,pańjot nạ̃ṛi,ᱯᱟᱧᱡᱚᱛ ᱱᱟᱺᱲᱤ
392,Portulacca oleracea,"moṭa uṛic̕ alaṇ, uṛic̕ alaṇ","ᱢᱚᱴᱟ ᱩᱨᱤᱪ ᱟᱞᱟᱝ, ᱩᱨᱤᱪ ᱟᱞᱟᱝ"
393,Portulacca quadrifolia,nanha uṛic̕ alaṅ,ᱱᱟᱱᱦᱟ ᱩᱨᱤᱪ ᱟᱞᱟᱝ
394,Premna latifolia,ḍaṅgra sea,ᱰᱟᱝᱜᱽᱨᱟ ᱥᱤ
395,Premna herbacea,kaḍa mẽ̱t̕,ᱠᱟᱰᱟ ᱢᱮᱫ
396,Psidium guyava,"amrud, amrut, ạńjir","ᱟᱢᱨᱩᱫ, ᱟᱢᱨᱩᱛ, ᱟᱹᱧᱡᱷᱤᱨ"
397,Pterocarpus marsupium,murgạ,ᱢᱩᱨᱜᱟᱹ
398,Pterospermum acerifolium,mackundạ,ᱢᱟᱪᱠᱩᱱᱰᱟᱹ
399,Pueraria tuberosa,"jaṅ tirṛạ, patal kohṇḍa, tirṛạ da","ᱡᱟᱝ ᱛᱤᱨᱲᱟᱹ, ᱯᱟᱛᱟᱞ ᱠᱚᱦᱚᱱᱰᱟ, ᱴᱤᱨᱨᱲᱟᱹ ᱪᱟ"
400,Punica granatum,"anar, ḍạlim","ᱚᱱᱟᱨ, ᱰᱟᱹᱞᱤᱢ"
401,Putranjiva roxburghii,pitońj,ᱯᱤᱛᱠᱚᱧᱡᱽ
402,Randia dumetorum,"boi bindi, loṭo","ᱵᱚᱭ ᱵᱷᱤᱱᱰᱤ, ᱞᱚᱴᱚ"
403,Randia uliginosa,piṇḍe,ᱯᱤᱱᱰᱮ
404,Raphanus sativus,"mulạ aṛak̕,murại aṛak̕","ᱢᱩᱞᱟᱹ ᱟᱲᱟᱜ, ᱢᱩᱨᱟᱹᱭᱤ ᱟᱲᱟᱜ"
405,Ricinus communis,eraṇḍom dare,ᱮᱨᱟᱝᱰᱚᱢ ᱫᱟᱨᱮ
406,Rottboellia perforata,kaṭko̱m care̱c̕,ᱠᱟᱴᱠᱚᱢ ᱪᱟᱨᱮᱪ
407,Ruellia suffruticosa,cạuliạ,ᱪᱟᱹᱣᱞᱤᱭᱟᱹ
408,Saccharum officinarum,ạk,ᱟᱹᱠ
409,Saccharum spontaneum,"kạsi ghãs, khạsi ghãs","ᱠᱟᱹᱥᱤ ᱜᱷᱟᱸᱥ, ᱠᱷᱟᱹᱥᱤᱩ ᱜᱷᱟᱸᱥ"
410,Saccharum sara,"sar, sạri sar","ᱥᱟᱨ, ᱥᱟᱹᱨᱤ ᱥᱟᱨ"
411,Salix tetrasperma,"gaḍa sigrik̕, sãṛũkuc̕","ᱜᱟᱰᱟ ᱥᱤᱜᱽᱨᱤᱜ, ᱥᱟᱸᱲᱩᱸᱠᱩᱪ"
412,Santalum,"candan, co̱ndo̱n","ᱠᱟᱱᱰᱟᱱ, ᱠᱚᱱᱰᱚᱱ"
413,Schleichera trijuga,"bạru, kusum","ᱵᱟᱹᱨᱩ, ᱠᱩᱥᱩᱢ"
414,Semicarpus anacardium,so̱so̱,ᱥᱳᱥᱳ
415,Sesamum indicum,"kaṭ tilmiń, til, tilmiń","ᱠᱟᱛ ᱛᱤᱞᱢᱤᱧ, ᱛᱤᱞ, ᱛᱤᱞᱢᱤᱧ"
416,Setaria italica,erba,ᱮᱨᱵᱟ
417,Setaria glauca,kukrạ,ᱠᱩᱠᱨᱟᱹ
418,Shorea robusta,"jahe̱r, sal, sarjo̱m","ᱡᱟᱦᱮᱨ, ᱥᱟᱞ,ᱥᱟᱨᱡᱳᱢ"
419,Sida humuilis,bạriạṛ. joka sakam,"ᱵᱟᱹᱨᱤᱭᱟᱹᱨ, ᱡᱚᱠᱟ ᱥᱟᱠᱟᱢ"
420,Sida carpinifolia,bir miru baha,ᱵᱤᱨ ᱢᱤᱨᱩ ᱵᱟᱦᱟ
421,Smilax ovalifolia,ạṭkir,ᱟᱹᱛᱠᱤᱨ
422,Solanum melongena,"beṅgaṛ, he̱nde̱ beṅgaṛ","ᱵᱮᱝᱜᱟᱲ, ᱦᱮᱱᱫᱮ ᱵᱮᱝᱜᱟᱲ"
423,Solanum stramonifolium,beṅgaṛ beṭahet̕,ᱵᱮᱝᱜᱟᱲ ᱵᱮᱴᱟᱦᱮᱫ
424,Solanum xanthocarpum,"e̱ḍhe̱ eạṅgạini, nạṅgạini","ᱮᱰᱷᱮ ᱮᱭᱟᱝᱜᱟᱹᱭᱱᱤ, ᱱᱟᱝᱜᱟᱹᱭᱱᱤ"
425,Sopubia delphinifolia,dak̕ kudur,ᱫᱟᱜ ᱠᱩᱰᱩᱨ
426,Sorghum vulgare,bajṛa,ᱵᱟᱡᱲᱟ
427,Soymida febrifuga,ruhen,ᱨᱩᱦᱮᱱ
428,Spatholobus roxburghii,"bando, cihũt laṛ","ᱵᱟᱱᱰᱚ, ᱪᱤᱦᱨᱩᱛ ᱞᱟᱲ"
429,Spermacoce hispida,"piṭuạ aṛak̕, piṭuạ ghãs","ᱯᱤᱴᱩᱣᱟᱹ ᱟᱲᱟᱜ, ᱯᱤᱴᱩᱣᱟᱹ ᱜᱷᱟᱸᱥ"
430,Spidagathis cristata,agyo,ᱟᱜᱭᱚ
431,Spondias mangifera,amṛa,ᱟᱢᱲᱟ
