Sl. No.,S.N,Santali Latin,SANTALI
54,Asparagus racemosus,kedar nạ̃ṛĩ,ᱠᱮᱫᱟᱨ ᱱᱟᱹᱲᱤ
55,Atyllosia scarabaedois (sic) ; ori - Atylosia scarabaeoides ; syn : Cajanus scarabaeoides,,ᱵᱤᱨ ᱦᱚᱲᱮᱠ
56,"Atyllosia mollis (sic) ori: Atylosia mollis syn: Cajanus crassus, Cajanus mollis)",,ᱵᱤᱨ ᱢᱟᱞᱦᱟᱱ
57,Bambusa stricta,buru mat́,ᱵᱩᱨᱩ ᱢᱟᱫ
58,Barleria prionistis,rayla baha,ᱨᱟᱹᱭᱞᱟᱹ ᱵᱟᱦᱟ
59,Barringtonia acutangula,hinjur,ᱦᱤᱧᱡᱚᱲ
60,Basella alba,"purại nạ̃ṛĩ, kạṭic̕ purại aṛak̕",ᱯᱩᱨᱟᱹᱭ ᱱᱟᱹᱲᱤ
61,Bassia latifolia (syn - Madhuca longifolia),"jamṛo matko̱m, matko̱ni","ᱡᱟᱢᱵᱲᱚ ᱢᱟᱛᱠᱚᱢ, ᱢᱟᱛᱠᱚᱢ"
62,Bauhinia retusa,"biṛnuu, jhińjiṭ","ᱵᱤᱬᱩᱡᱩ, ᱡᱤᱱᱤᱧᱡᱤᱛ"
63,Bahunia variegata,"jhińjhir, jhińjir","ᱡᱤᱱᱤᱧᱡᱷᱤᱨ, ᱡᱤᱧᱡᱷᱤᱨ"
64,Bahunia vahlii,"cihṛi lamak̕, jo̱m laṛ, lamak̕, lamak̕ laṛ","ᱪᱤᱦᱲᱤ ᱞᱟᱢᱟᱜ, ᱞᱟᱢᱟᱜ ᱞᱟᱹᱲ"
65,Bahunia purpurea,"hoe ranakap̕ aṛak̕, siń aṛak̕","ᱦᱚᱭ ᱨᱟᱱᱟᱠᱟᱯ ᱟᱲᱟᱜ, ᱥᱤᱧ ᱟᱲᱟᱜ"
66,Begonia picta,dhiri japak̕,ᱫᱷᱤᱨᱤ ᱡᱟᱯᱟᱜ
67,Beta vulgaris,palak aṛak̕,ᱯᱟᱞᱟᱠ ᱟᱲᱟᱜ
68,Biophetum sensitivum,bhado̱r jhạpjhạpni,"ᱵᱷᱟᱫᱚᱨ ᱡᱷᱟᱹᱯᱱᱤ, ᱡᱷᱟᱹᱯᱱᱤ"
69,Blumea lacera,gaḍa pacwạni,ᱜᱟᱰᱟ ᱯᱟᱹᱪᱣᱟᱹᱱᱤ
70,Blumea wightiana,rondoc̕,ᱨᱚᱱᱰᱚᱠ
71,Bombax malabaricum,"edel, rui, sohodoho","ᱮᱫᱮᱞ, ᱨᱩᱭᱤ, ᱥᱚᱦᱚ ᱫᱚᱦᱚ"
72,Bonnaya veronicaefolia,kedar,ᱠᱮᱫᱟᱨ
73,Borassus flabelliformis,tale,ᱛᱟᱞᱮ
74,Boswellia serrata,salga,ᱥᱟᱞᱜᱟ
75,Brassica campestris,"luṭni, rại, tuṛi, ṭhạḍiạ tuṛi, man tuṛi","ᱞᱩᱴᱱᱤ, ᱨᱟᱹᱭᱤ, ᱛᱩᱲᱤ, ᱴᱷᱟᱹᱰᱤᱭᱟᱹ ᱛᱩᱲᱤ, ᱢᱟᱱ ᱛᱩᱲᱤ"
76,Briedelia retusa,"kạḍru pala, kaṛke jạnum","ᱠᱟᱹᱰᱨᱩ ᱯᱟᱞᱟ, ᱠᱟᱲᱠᱤ ᱡᱟᱹᱱᱩᱢ"
77,Bryonia lacinosa,kạhu botke,ᱠᱟᱹᱦᱩ ᱵᱚᱴᱠᱮ
78,Buchanania latifolia,tarop,ᱛᱟᱨᱚᱯ
79,Buettneria herbacea,"deko sindur, kambraj","ᱰᱮᱠᱳ ᱥᱤᱱᱫᱩᱨ, ᱠᱟᱢᱵᱽᱨᱟᱡᱽ"
80,Bursera serrata,ạrmu,ᱟᱹᱨᱢᱩ
81,Butea frondosa,murup̕,ᱢᱩᱨᱩᱯ
82,Butea superba,nạṛi murup̕,ᱱᱟᱹᱲᱤ ᱢᱩᱨᱩᱯ
83,Caesulia axillaris,belãońja,ᱵᱮᱞᱟᱸᱳᱧᱡᱟ
84,Cajanus indicus,raheṛ,ᱨᱟᱦᱮᱲ
85,Calamus rotang,bẽ̱t,ᱵᱮᱸᱴ
86,Callicarpa macrophylla,buḍhi ghạsic̕,ᱵᱩᱰᱷᱤ ᱜᱷᱟᱹᱥᱤᱪ
87,Calotropis gigantea,akaona,ᱟᱠᱟᱚᱱᱟ
88,Camellia theifera,ca dare,ᱪᱟ ᱫᱟᱨᱮ
89,Canavalia ensiformis,tiho̱n,ᱛᱤᱦᱳᱱ
90,Cannabinis sativa,gańja,ᱜᱟᱧᱡᱟ
91,Canthium didymum,garbha gojha,ᱜᱟᱨᱵᱷᱟ ᱜᱚᱡᱷᱟ
92,Capparis horrida,buru asạṛiạ,ᱵᱩᱨᱩ ᱟᱥᱟᱹᱲᱤᱭᱟᱹ
93,Cardiospermum halicaeabum,puṭki malla,ᱯᱩᱴᱠᱤ ᱢᱟᱞᱟ
94,Carea arborea,kumbiṛ,ᱠᱩᱢᱵᱤᱲ
95,Capsicum annuum,mạric,ᱢᱟᱹᱨᱤᱪ
96,Carissa carandas,kãṛwat̕,ᱠᱟᱸᱲᱣᱟᱛ
97,Carum carni (sic - Carum carvi),jirạ,ᱡᱤᱨᱟᱹ
98,Carum copticum,ạjuạ,ᱟᱹᱡᱩᱣᱟᱹ
99,Casearia tomentosa,"corco, riḍe","ᱪᱚᱨᱪᱚ, ᱨᱤᱰᱮ"
