English;Santali (Primary);Santali (Other)
File;ᱨᱮᱫ;ᱯᱷᱟᱭᱤᱞ
Mute;ᱛᱷᱤᱨ ᱦᱚᱪᱚ;ᱢᱭᱩᱴ
