ᱥᱟᱱᱛᱟᱲᱤ,English
ᱤᱧᱤᱧ ᱥᱮᱱᱚᱜᱼᱟ,I go
ᱤᱧᱤᱧ ᱡᱚᱢᱟ,I eat
