ᱡᱩᱞᱟ.,raddish,
ᱡᱩᱞᱩ,Zulu,
ᱡᱩᱞᱭ,july,
ᱡᱩᱢᱤᱫ ᱠᱟᱱᱟᱰᱤᱭᱟᱹᱱ ᱮᱵᱚᱨᱤᱡᱤᱱᱟᱞ ᱥᱭᱞᱟᱵᱤᱠᱥ,Unified Canadian Aboriginal Syllabics,
ᱡᱩᱨᱪᱷᱮᱱ,Jurchen,
ᱡᱩᱰᱤᱭᱚᱼᱟᱹᱨᱵᱤ,Judeo-Arabic,
ᱡᱩᱰᱤᱭᱚᱼᱯᱟᱹᱨᱥᱤᱭᱟᱹᱱ,Judeo-Persian,
ᱡᱩᱱ,june,
ᱡᱩᱱᱤ,Zuni,
ᱡᱮᱠ,Czech,
ᱡᱮᱱᱟᱜᱟ,Zenaga,
ᱡᱷᱩᱣᱟᱝ,Zhuang,
ᱢᱚᱝ,Hmong,
ᱢᱚᱞᱚᱝ,forehead,
ᱢᱚᱞᱰᱟᱵᱷᱤᱭᱟᱹᱱ,Moldavian,
ᱢᱚᱠᱟ,elbow,
ᱢᱚᱠᱥᱷᱟ,Moksha,
ᱢᱚᱥᱞᱟ ᱥᱟᱠᱟᱢ,coriender,
ᱢᱚᱥᱤ,Mossi,
ᱢᱚᱦᱟᱣᱟᱠ,Mohawk,
ᱢᱚᱨᱚᱠᱟᱱ ᱟᱹᱨᱵᱤ,Moroccan Arabic,
ᱢᱚᱨᱤᱥᱭᱮᱱ,Morisyen,
ᱢᱚᱪᱟ,mouth,
ᱢᱚᱫᱤ,Modi,
ᱢᱚᱰᱮᱱ ᱥᱴᱟᱱᱰᱟᱨᱰ ᱟᱹᱨᱵᱤ,Modern Standard Arabic,
ᱢᱚᱱᱜᱚ,Mongo,
ᱢᱚᱱᱜᱚᱞᱤᱭᱟᱹᱱ,Mongolian,
ᱢᱚᱱᱫᱤᱨ,temple,
ᱢᱚᱱᱴᱮᱱᱮᱜᱽᱨᱤᱱ,Montenegrin,
ᱢᱚᱲᱚᱭ,lac,
ᱢᱚᱲᱟ,face,
ᱢᱚᱴᱚᱨ ᱪᱷᱚᱞᱟ,pea,
ᱢᱚᱸᱬᱮ,five,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ,fifty,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ,fifty six,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱟᱨᱮᱞ,fifty nine,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱢᱚᱸᱬᱮ,fifty five,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱢᱤᱫ,fifty one,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱤᱨᱟ.ᱞ,fifty eight,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱮᱭᱟᱭ,fifty seven,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱯᱩᱱ,fifty four,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱯᱮ,fifty three,
ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱵᱟᱨ,fifty two,
ᱢᱟ.ᱨᱤᱪ,chilli,
ᱢᱟᱜᱟᱦᱤ,Magahi,
ᱢᱟᱝᱠᱥ,Manx,
ᱢᱟᱞᱟᱜᱟᱥᱭ,Malagasy,
ᱢᱟᱞᱟᱭ,Malay,
ᱢᱟᱞᱟᱭᱟᱞᱟᱢ,Malayalam,
ᱢᱟᱞᱟᱭᱟᱞᱟᱹᱢ,Malayalam,
ᱢᱟᱞᱴᱤᱡᱽ,Maltese,
ᱢᱟᱠᱚᱱᱰᱮ,Makonde,
ᱢᱟᱠᱟᱥᱟᱨ,Makasar,
ᱢᱟᱠᱷᱩᱣᱟᱼᱢᱤᱴᱩ,Makhuwa-Meetto,
ᱢᱟᱡᱟᱱᱰᱮᱨᱟᱱᱤ,Mazanderani,
ᱢᱟᱢᱟ,maternal uncle,
ᱢᱟᱢᱤ,maternal aunt,
ᱢᱟᱣᱨᱤ,Māori,
ᱢᱟᱥᱟᱨᱟᱢ ᱜᱚᱱᱰᱤ,Masaram Gondi,
ᱢᱟᱥᱟᱭ,Masai,
ᱢᱟᱥᱮᱰᱚᱱᱤᱭᱟᱹᱱ,Macedonian,
ᱢᱟᱦᱟᱡᱟᱱᱤ,Mahajani,
ᱢᱟᱨᱟᱜ,peacock,
ᱢᱟᱨᱟᱝ ᱜᱮᱰᱮ,swan,
ᱢᱟᱨᱟᱴᱷᱤ,Marathi,
ᱢᱟᱨᱣᱟᱨᱤ,Marwari,
ᱢᱟᱨᱤ,Mari,
ᱢᱟᱨᱥᱟᱯᱤᱥ,Marshallese,
ᱢᱟᱨᱪ,march,
ᱢᱟᱨᱪᱷᱮᱱ,Marchen,
ᱢᱟᱨᱮ ᱠᱚᱭᱮᱸ ᱟᱹᱨᱵᱤ,Old South Arabian,
ᱢᱟᱨᱮ ᱤᱝᱞᱤᱥ,Old English,
ᱢᱟᱨᱮ ᱤᱨᱤᱥ,Old Irish,
ᱢᱟᱨᱮ ᱤᱴᱟᱞᱤᱠ,Old Italic,
ᱢᱟᱨᱮ ᱥᱚᱜᱽᱰᱤᱭᱟᱹᱱ,Old Sogdian,
ᱢᱟᱨᱮ ᱦᱟᱹᱱᱜᱟᱨᱤᱭᱟᱹᱱ,Old Hungarian,
ᱢᱟᱨᱮ ᱩᱥᱩᱞ ᱡᱟᱹᱨᱢᱟᱹᱱ,Old High German,
ᱢᱟᱨᱮ ᱪᱚᱨᱪ ᱥᱞᱟᱣᱚᱱᱤᱠ ᱥᱭᱨᱤᱞᱤᱠ,Old Church Slavonic Cyrillic,
ᱢᱟᱨᱮ ᱮᱛᱚᱢ ᱟᱹᱨᱵᱤ,Old North Arabian,
ᱢᱟᱨᱮ ᱯᱟᱹᱨᱢᱤᱠ,Old Permic,
ᱢᱟᱨᱮ ᱯᱟᱹᱨᱥᱤᱭᱟᱹᱱ,Old Persian,
ᱢᱟᱨᱮ ᱯᱨᱚᱵᱷᱮᱱᱠᱟᱞ,Old Provençal,
ᱢᱟᱨᱮ ᱯᱷᱨᱮᱧᱪ,Old French,
ᱢᱟᱨᱮ ᱱᱚᱨᱥ,Old Norse,
ᱢᱟᱪᱮᱛ,teacher,
ᱢᱟᱭᱟᱢ,blood,
ᱢᱟᱭᱟᱱ ᱦᱟᱭᱨᱚᱜᱞᱤᱢᱯᱥ,Mayan hieroglyphs,
ᱢᱟᱭᱤᱱ,Myene,
ᱢᱟᱭᱫᱟ,maida,
ᱢᱟᱯᱩᱪᱷᱮ,Mapuche,
ᱢᱟᱯᱷᱟ,Mafa,
ᱢᱟᱱᱚᱠ ᱢᱚᱨᱚᱠᱟᱱ ᱴᱟᱢᱟᱡᱤᱜᱷᱛ,Standard Moroccan Tamazight,
ᱢᱟᱱᱤᱪᱷᱟᱤᱭᱟᱱ,Manichaean,
ᱢᱟᱱᱪᱷᱩ,Manchu,
ᱢᱟᱱᱰᱟᱨ,Mandar,
ᱢᱟᱱᱰᱤᱭᱟᱹᱱ,Mandaean,
ᱢᱟᱱᱰᱤᱱᱜᱚ,Mandingo,
ᱢᱟᱱᱰᱩᱨᱤᱡᱽ,Madurese,
ᱢᱟᱴᱤᱭᱟᱲ,brown,
ᱢᱟᱵᱟ,Maba,
ᱢᱟᱹᱪᱢᱮ,Machame,
ᱢᱟᱹᱭᱛᱷᱤᱞᱤ,Maithili,
ᱢᱟᱹᱱᱤᱯᱩᱨᱤ,Manipuri,
ᱢᱟᱹᱱᱰᱟᱨᱤᱭᱟᱹᱱ ᱪᱟᱭᱱᱤᱡᱽ,Mandarin Chinese,
ᱢᱤᱠᱢᱟᱠ,Mi'kmaq,
ᱢᱤᱡᱚ,Mizo,
ᱢᱤᱥᱨᱤ ᱪᱤᱱᱤ,sugar candy,
ᱢᱤᱨᱟᱱᱰᱤᱡᱽ,Mirandese,
ᱢᱤᱨᱩ,parrot,
ᱢᱤᱫ,one,
ᱢᱤᱫ ᱥᱟᱭ,one hundred,
ᱢᱤᱱ ᱱᱟᱱ ᱪᱟᱭᱱᱤᱡᱽ,Min Nan Chinese,
ᱢᱤᱱᱜᱽᱨᱮᱞᱤᱭᱟᱹᱱ,Mingrelian,
ᱢᱤᱱᱟᱝᱠᱟᱵᱩ,Minangkabau,
ᱢᱨᱚ,Mro,
ᱢᱩ,nose,
ᱢᱩᱛᱩ,genital,
ᱢᱩᱞᱛᱟᱱᱤ,Multani,
ᱢᱩᱥᱞᱤᱢ ᱴᱟᱴ,Muslim Tat,
ᱢᱩᱥᱠᱚᱜᱤ,Muscogee,
ᱢᱩᱨᱛᱤ,statue,
ᱢᱩᱱ,Moon,
ᱢᱩᱱᱰᱟᱹᱜᱽ,Mundang,
ᱢᱭᱟᱢᱟᱨ,Myanmar,
ᱢᱭᱟᱱᱢᱟᱨ ᱯᱟᱹᱨᱤ,Myanmar Language,
ᱢᱮᱛᱷᱢᱮᱴᱤᱠᱟᱞ ᱱᱚᱴᱮᱥᱚᱱ,Mathematical Notation,
ᱢᱮᱠᱥᱤᱠᱟᱱ ᱥᱯᱮᱱᱤᱥ,Mexican Spanish,
ᱢᱮᱨᱚᱢ,he goat,
ᱢᱮᱨᱚᱢ ᱜᱤᱫᱽᱨᱟ.,kid,
ᱢᱮᱨᱚᱢ ᱡᱤᱞ,mutton,
ᱢᱮᱨᱚᱤᱴᱤᱠ,Meroitic,
ᱢᱮᱨᱚᱭᱮᱴᱤᱠ ᱠᱚᱨᱥᱣ,Meroitic Cursive,
ᱢᱮᱨᱩ,Meru,
ᱢᱮᱫ,eye,
ᱢᱮᱫ ᱠᱩᱴᱤ,eyelid,
ᱢᱮᱭ,may,
ᱢᱮᱭᱛᱤ ᱢᱟᱭᱮᱠ,Meitei Mayek,
ᱢᱮᱰᱩᱢᱵᱟ,Medumba,
ᱢᱮᱰᱮᱯᱷᱭᱰᱨᱤᱱ,Medefaidrin,
ᱢᱮᱱᱰᱮ,Mende,
ᱢᱮᱱᱴᱟᱣᱟᱭ,Mentawai,
ᱢᱮᱱᱼᱯᱷᱨᱟᱱᱠᱚᱱᱤᱭᱟᱹᱱ,Main-Franconian,
ᱢᱮᱴᱟ,Metaʼ,
ᱣᱚᱞᱚᱯᱷ,Wolof,
ᱣᱚᱞᱟᱭᱴᱟ,Wolaytta,
ᱣᱚᱞᱮᱭ,Woleai,
ᱣᱚᱴᱤᱠ,Votic,
ᱣᱟᱞᱩᱱ,Walloon,
ᱣᱟᱞᱮᱟᱹᱨ,Walser,
ᱣᱟᱥᱚ,Washo,
ᱣᱟᱨᱞᱯᱤᱨᱤ,Warlpiri,
ᱣᱟᱨᱟᱭ,Waray,
ᱣᱟᱭ,Vai,
ᱣᱟᱭᱩ,Wayuu,
ᱣᱟᱱᱪᱩ,Wancho,
ᱣᱤ,Yi,
ᱣᱩ ᱪᱟᱭᱱᱤᱡᱽ,Wu Chinese,
ᱣᱮᱞᱥ,Welsh,
ᱣᱮᱭᱮᱛᱱᱮᱢᱤᱡᱽ,Vietnamese,
ᱣᱮᱯᱮ,Veps,
ᱣᱮᱱᱮᱴᱤᱭᱟᱹᱱ,Venetian,
ᱣᱮᱱᱰᱟ,Venda,
ᱤᱛᱤᱞ ᱥᱩᱱᱩᱢ,ghee,
ᱤᱜᱽᱵᱚ,Igbo,
ᱤᱞᱚᱠᱚ,Iloko,
ᱤᱞᱟ.ᱭᱪᱤ,comfit,
ᱤᱠᱟᱡᱤᱠ,Ekajuk,
ᱤᱡᱤᱯᱴᱤᱭᱟᱱ ᱦᱟᱭᱨᱚᱜᱞᱤᱢᱯᱥ,Egyptian hieroglyphs,
ᱤᱡᱤᱯᱴᱤᱭᱟᱱ ᱦᱟᱭᱨᱮᱴᱤᱠ,Egyptian hieratic,
ᱤᱡᱤᱯᱴᱤᱭᱟᱱ ᱰᱮᱢᱚᱱᱤᱠ,Egyptian demotic,
ᱤᱡᱤᱯᱴᱤᱭᱟᱹᱱ ᱟᱹᱨᱮᱵᱤᱠ,Egyptian Arabic,
ᱤᱢᱚᱡᱤ,Emoji,
ᱤᱢᱯᱮᱨᱤᱭᱟᱹᱞ ᱟᱨᱟᱢᱟᱭᱤᱠ,Imperial Aramaic,
ᱤᱣᱚᱱᱰᱚ,Ewondo,
ᱤᱣᱤ,Ewe,
ᱤᱧ,i,
ᱤᱨᱟ.ᱞ,eight,
ᱤᱨᱤᱞ ᱠᱩᱲᱤ (ᱥᱟᱞᱤ),sister in law,
ᱤᱨᱤᱞ ᱠᱩᱲᱤ (ᱫᱮᱣᱨᱟᱱᱤ),sister in law,
ᱤᱨᱤᱞ ᱠᱩᱲᱤ (ᱱᱱᱚᱫ),sister in law,
ᱤᱨᱤᱥ,Irish,
ᱤᱯᱷᱤᱠ,Efik,
ᱤᱰᱳ,Ido,
ᱤᱱ,heart,
ᱤᱱᱜᱩᱥ,Ingush,
ᱤᱱᱜᱽᱨᱤᱭᱟᱹᱱ,Ingrian,
ᱤᱱᱟᱨᱤ ᱥᱟᱢᱤ,Inari Sami,
ᱤᱱᱥᱠᱨᱤᱯᱥᱚᱱᱟᱞ ᱯᱟᱦᱟᱞᱣᱤ,Inscriptional Pahlavi,
ᱤᱱᱥᱠᱨᱤᱯᱥᱚᱱᱟᱞ ᱯᱟᱨᱛᱷᱤᱭᱟᱱ,Inscriptional Parthian,
ᱤᱱᱦᱮᱨᱤᱴᱮᱰ,Inherited,
ᱤᱱᱩᱠᱴᱤᱴᱩᱴ,Inuktitut,
ᱤᱱᱩᱯᱤᱭᱟᱠ,Inupiaq,
ᱤᱱᱰᱚᱥ,Indus,
ᱤᱱᱰᱚᱱᱮᱥᱤᱭᱟᱹᱱ,Indonesian,
ᱤᱱᱴᱚᱨᱞᱤᱝᱜᱩᱣᱟ,Interlingua,
ᱤᱱᱴᱚᱨᱞᱤᱝᱜᱩᱣᱮ,Interlingue,
ᱤᱲᱤ,heel,
ᱤᱴᱟᱞᱤᱟᱱ,Italian,
ᱤᱵᱟᱱ,Iban,
ᱤᱵᱤᱵᱤᱭᱚ,Ibibio,
ᱥᱚᱜᱟ,Soga,
ᱥᱚᱜᱽᱰᱤᱭᱟᱹᱱ,Sogdien,
ᱥᱚᱜᱽᱰᱤᱭᱟᱹᱱ,Sogdian,
ᱥᱚᱝᱟ,Tsonga,
ᱥᱚᱢᱟᱞᱤ,Somali,
ᱥᱚᱥᱟ,Xhosa,
ᱥᱚᱨᱟ ᱥᱚᱢᱯᱮᱝ,Sora Sompeng,
ᱥᱚᱨᱵᱚᱛ,syrup,
ᱥᱚᱭᱚᱢᱵᱚ,Soyombo,
ᱥᱚᱯᱟ,arm,
ᱥᱚᱱᱟ,Shona,
ᱥᱟᱱᱛᱟᱲ,Santal,(ᱧᱩᱸ) ᱟᱫᱤᱢ ᱡᱟᱛ
ᱥᱚᱱᱤᱱᱠᱮ,Soninke,
ᱥᱚᱲᱚ,bull,
ᱥᱞᱚᱣᱟᱠ,Slovak,
ᱥᱞᱚᱣᱮᱱᱤᱭᱟᱱ,Slovenian,
ᱥᱞᱤᱥᱭᱢᱵᱚᱞᱥ,Blissymbols,
ᱥᱞᱮᱣ,Slave,
ᱥᱟ.ᱜᱩᱱ,wednesday,
ᱥᱟ.ᱨᱫᱤ,thursday,
ᱥᱟᱛᱮᱨᱞᱮᱸᱱᱰ ᱯᱷᱨᱤᱥᱤᱭᱟᱹᱱ,Saterland Frisian,
ᱥᱟᱠᱚᱱᱤᱭᱟᱹᱱ,Tsakonian,
ᱥᱟᱠᱷᱟ,Sakha,
ᱥᱟᱠᱷᱩᱣᱟᱨ,Tsakhur,
ᱥᱟᱢᱚᱜᱤᱛᱤᱭᱟᱱ,Samogitian,
ᱥᱟᱢᱚᱣᱟᱱ,Samoan,
ᱥᱟᱢᱟᱝ ᱥᱭᱨᱤᱭᱟᱠ,Eastern Syriac,
ᱥᱟᱢᱟᱝ ᱯᱷᱨᱤᱥᱤᱭᱟᱱ,Eastern Frisian,
ᱥᱟᱢᱟᱨᱤᱴᱟᱱ,Samaritan,
ᱥᱟᱢᱟᱨᱤᱴᱟᱱ ᱟᱨᱟᱢᱟᱭᱤᱠ,Samaritan Aramaic,
ᱥᱟᱢᱵᱩᱨᱩ,Samburu,
ᱥᱟᱣᱤᱭᱟᱹᱱ,Shavian,
ᱥᱟᱣᱨᱟᱥᱴᱨᱚ,Saurashtra,
ᱥᱟᱥᱟᱝ,yellow,
ᱥᱟᱥᱟᱠ,Sasak,
ᱥᱟᱥᱟᱨᱤᱥ ᱥᱟᱨᱰᱤᱱᱤᱭᱟᱹᱱ,Sassarese Sardinian,
ᱥᱟᱦᱚ,Saho,
ᱥᱟᱨᱚᱛᱤ,Sarati,
ᱥᱟᱨᱫᱟ,Sharada,
ᱥᱟᱨᱰᱤᱱᱤᱭᱟᱹᱱ,Sardinian,
ᱥᱟᱫᱚᱢ,horse,
ᱥᱟᱫᱚᱢ ᱜᱤᱫᱽᱨᱟ.,colt,
ᱥᱟᱭ,hundred,
ᱥᱟᱭᱞᱚᱛᱤ ᱱᱟᱜᱽᱨᱤ,Syloti Nagri,
ᱥᱟᱭᱠᱨᱤᱞᱤᱠ,Cyrillic,
ᱥᱟᱭᱪᱤᱞᱤᱭᱟᱹᱱ,Sicilian,
ᱥᱟᱱ,Shan,
ᱥᱟᱱᱛᱟᱞᱤ,Santali,
ᱥᱟᱱᱛᱟᱲᱤ,Santali,
ᱥᱟᱱᱛᱷᱟᱞᱤ,Santhali,
ᱥᱟᱱᱜᱚ,Sango,
ᱥᱟᱱᱜᱩ,Sangu,
ᱥᱟᱱᱰᱟᱣᱮ,Sandawe,
ᱥᱟᱹᱞᱛᱟᱨ ᱯᱟᱦᱟᱞᱣᱤ,Psalter Pahlavi,
ᱥᱟᱹᱢᱵᱟᱞᱟ,Shambala,
ᱥᱟᱹᱨᱵᱚᱼᱠᱨᱚᱮᱥᱤᱭᱟᱹᱱ,Serbo-Croatian,
ᱥᱟᱹᱨᱵᱤᱭᱟᱹᱱ,Serbian,
ᱥᱟᱹᱱᱥᱠᱨᱤᱛ,Sanskrit,
ᱥᱠᱚᱞᱴ ᱥᱟᱢᱤ,Skolt Sami,
ᱥᱠᱚᱴᱤᱥ ᱜᱮᱞᱤᱠ,Scottish Gaelic,
ᱥᱠᱚᱴᱥ,Scots,
ᱥᱣᱟᱛᱤ,Swati,
ᱥᱣᱟᱦᱤᱞᱤ,Swahili,
ᱥᱣᱟᱱᱟ,Tswana,
ᱥᱣᱤᱥ ᱡᱟᱹᱨᱢᱟᱹᱱ,Swiss German,
ᱥᱣᱮᱫᱤᱥ,Swedish,
ᱥᱤᱞᱮᱥᱤᱭᱟᱱ,Silesian,
ᱥᱤᱠᱥᱤᱠᱟ,Siksika,
ᱥᱤᱢ ᱥᱟ.ᱰᱤ,cock,
ᱥᱤᱢ ᱮᱸᱜᱟ,hen,
ᱥᱤᱢᱥᱤᱭᱟᱹᱱ,Tsimshian,
ᱥᱤᱢᱯᱞᱤᱯᱷᱟᱭᱮᱰ,Simplified,
ᱥᱤᱢᱯᱞᱤᱯᱷᱟᱭᱮᱰ ᱦᱟᱱ,Simplified Han,
ᱥᱤᱨᱛᱷ,Cirth,
ᱥᱤᱪᱷᱩᱣᱟᱱ ᱭᱤ,Sichuan Yi,
ᱥᱤᱫ ᱠᱟ.ᱴᱩᱵ,middle finger,
ᱥᱤᱫᱷ ᱮ,Linear A,
ᱥᱤᱫᱷ ᱵ,Linear B,
ᱥᱤᱫᱷᱟᱹᱢ,Siddham,
ᱥᱤᱭᱟᱝ ᱪᱟᱭᱱᱤᱡᱽ,Xiang Chinese,
ᱥᱤᱰᱟᱢᱚ,Sidamo,
ᱥᱤᱱᱦᱟᱞᱟ,Sinhala,
ᱥᱤᱱᱫᱷᱤ,Sindhi,
ᱥᱤᱵᱤᱞ,sweet,
ᱥᱤᱵᱩᱟᱱᱚ,Cebuano,
ᱥᱤᱸᱜᱩᱱ,sunday,
ᱥᱨᱟᱱᱟᱱ ᱴᱚᱝᱜᱚ,Sranan Tongo,
ᱥᱩᱠᱤᱢᱟ,Sukuma,
ᱥᱩᱠᱨᱤ,pig,
ᱥᱩᱠᱨᱤ ᱡᱤᱞ,pork,
ᱥᱩᱡᱤ,semolina,
ᱥᱩᱢᱮᱨᱚᱼᱟᱠᱟᱰᱤᱭᱟᱹᱱ ᱠᱩᱱᱮᱭᱯᱷᱚᱨᱢ,Sumero-Akkadian Cuneiform,
ᱥᱩᱢᱮᱨᱤᱭᱟᱹᱱ,Sumerian,
ᱥᱩᱣᱤᱥ ᱦᱟᱤ ᱡᱟᱨᱢᱟᱱ,Swiss High German,
ᱥᱩᱣᱤᱥ ᱯᱷᱨᱮᱧᱪ,Swiss French,
ᱥᱩᱥᱩ,Susu,
ᱥᱩᱱᱩᱢ,oil,
ᱥᱩᱱᱭᱚ,zero,
ᱥᱩᱱᱰᱟᱱᱤᱡᱽ,Sundanese,
ᱥᱭᱨᱤᱭᱟᱠ,Syriac,
ᱥᱭᱯᱨᱚᱭᱤᱴ,Cypriot,
ᱥᱮᱛᱟ,dog,
ᱥᱮᱞᱟᱭᱟᱨ,Selayar,
ᱥᱮᱞᱠᱟᱹᱯ,Selkup,
ᱥᱮᱞᱥᱟᱭ,thousand,
ᱥᱮᱣᱚ,apple,
ᱥᱮᱥᱮᱞᱣᱟ ᱠᱨᱮᱚᱞᱮ ᱯᱷᱨᱮᱧᱪ,Seselwa Creole French,
ᱥᱮᱨᱢᱟ,year,
ᱥᱮᱨᱤ,Seri,
ᱥᱮᱨᱮᱨ,Serer,
ᱥᱮᱫᱟᱭ ᱜᱽᱨᱤᱠ,Ancient Greek,
ᱥᱮᱫᱟᱭ ᱤᱡᱤᱯᱴᱤᱭᱟᱹᱱ,Ancient Egyptian,
ᱥᱮᱯᱴᱮᱢᱵᱚᱨ,september,
ᱥᱮᱱᱟ,Sena,
ᱥᱮᱱᱮᱠᱟ,Seneca,
ᱥᱮᱱᱴᱨᱟᱞ ᱠᱩᱨᱫᱤᱥ,Central Kurdish,
ᱥᱮᱱᱴᱨᱟᱞ ᱫᱩᱥᱩᱱ,Central Dusun,
ᱥᱮᱱᱴᱨᱟᱞ ᱭᱩᱯᱤᱠ,Central Yupik,
ᱥᱮᱱᱴᱨᱟᱞ ᱮᱴᱞᱟᱥ ᱛᱟᱢᱟᱡᱟᱭᱮᱛ,Central Atlas Tamazight,
ᱥᱮᱸᱫᱽᱨᱟ ᱥᱮᱛᱟ,hoond,
ᱥᱯᱮᱱᱤᱥ,Spanish,
ᱦᱚᱛᱚᱫ,bottle gourd,
ᱦᱚᱞᱟ,yesterday,
ᱦᱚᱧᱦᱟᱨ ᱟᱭᱳ,mother in law,
ᱦᱚᱧᱦᱟᱨ ᱵᱟᱵᱟ,father in law,
ᱦᱚᱴᱚᱜᱽ,neck,
ᱦᱟ.ᱛᱤ,elephant,
ᱦᱟ.ᱨᱤᱭᱟ.ᱲ,green,
ᱦᱟ.ᱬᱩ,monkey,
"ᱦᱟᱛᱟᱲ, ᱵᱷᱮᱡᱟ",brain,
ᱦᱟᱠᱟ ᱪᱟᱭᱱᱤᱡᱽ,Hakka Chinese,
ᱦᱟᱣᱟᱭᱤᱭᱟᱹᱱ,Hawaiian,
ᱦᱟᱣᱥᱟ,Hausa,
ᱦᱟᱨᱛᱟ,skin,
ᱦᱟᱭᱛᱤᱭᱟᱹᱱ ᱠᱨᱮᱚᱞᱮ,Haitian Creole,
ᱦᱟᱭᱰᱟ,Haida,
ᱦᱟᱰᱜᱟᱨ,hyena,
ᱦᱟᱱ,Han,
ᱦᱟᱱ ᱥᱟᱶ ᱵᱚᱯᱚᱢᱚᱯᱷᱚ,Han with Bopomofo,
ᱦᱟᱱᱜᱩᱞ,Hangul,
ᱦᱟᱱᱤᱯᱷᱤ ᱨᱚᱦᱤᱭᱮᱝᱜᱟ,Hanifi Rohingya,
ᱦᱟᱱᱩᱱᱚ,Hanunoo,
ᱦᱟᱴ,week,
ᱦᱟᱴᱨᱟᱱ,Hatran,
ᱦᱟᱹᱝᱜᱮᱨᱤᱭᱟᱹᱱ,Hungarian,
ᱦᱟᱹᱠᱩ,Fish,
ᱦᱟᱹᱡᱩᱜ,come,
ᱦᱤᱞᱤ,maternal sister,
ᱦᱤᱞᱤᱜᱟᱭᱱᱚᱱ,Hiligaynon,
ᱦᱤᱡᱩᱜ,to come,
ᱦᱤᱨᱟᱜᱟᱹᱝᱜᱟ,Hiragana,
ᱦᱤᱨᱤ ᱢᱚᱴᱩ,Hiri Motu,
ᱦᱤᱱᱫᱤ,Hindi,
ᱦᱤᱴᱤᱴᱮ,Hittite,
ᱦᱩᱯᱟ,Hupa,
ᱦᱩᱰᱤᱧ,little,
ᱦᱩᱰᱤᱧ ᱠᱟ.ᱴᱩᱵ,little finger,
ᱦᱩᱲᱩ,grain,
ᱦᱮᱡ,came,
ᱦᱮᱨᱮᱨᱚ,Herero,
ᱦᱮᱵᱽᱨᱤᱣ,Hebrew,
ᱦᱮᱸᱫᱮ,black,
ᱧᱤᱸᱫᱟ ᱫᱟᱠᱟ,bread,
ᱧᱩ,to drink,
ᱧᱩᱱᱩᱢ,Noun,
ᱧᱩᱸᱦᱩᱢ,saturday,
ᱧᱮᱞ ᱨᱚᱲ,Visible Speech,
ᱧᱮᱸᱞᱮᱨᱟᱥᱟ,honey,
ᱨᱚᱝᱜᱚᱨᱚᱝᱜᱚ,Rongorongo,
ᱨᱚᱢᱟᱝᱱᱚᱞ,Romagnol,
ᱨᱚᱢᱟᱱᱤᱭᱟᱹᱱ,Romanian,
ᱨᱚᱢᱟᱱᱥ,Romansh,
ᱨᱚᱢᱟᱱᱭ,Romany,
ᱨᱚᱢᱵᱚ,Rombo,
ᱨᱚᱣᱤᱭᱟᱱᱟ,Roviana,
ᱨᱚᱱᱚᱲ,Grammar,
ᱨᱚᱴᱩᱢᱟᱱ,Rotuman,
ᱨᱟᱝ ᱠᱷᱭᱛᱤ,Varang Kshiti,
ᱨᱟᱡᱚᱥᱛᱷᱟᱱᱤ,Rajasthani,
ᱨᱟᱢᱟ,nail,
ᱨᱟᱨᱚᱴᱚᱱᱜᱟᱱ,Rarotongan,
ᱨᱟᱯᱟᱩᱱᱤ,Rapanui,
ᱨᱣᱟ,Rwa,
ᱨᱤᱯᱷᱤᱭᱟᱱ,Riffian,
ᱨᱩᱥᱤᱭᱟᱱ,Russian,
ᱨᱩᱥᱤᱱ,Rusyn,
ᱨᱩᱱᱤᱠ,Runic,
ᱨᱩᱱᱰᱤ,Rundi,
ᱨᱮ,in,
ᱨᱮᱡᱟᱝ,Rejang,
ᱨᱮᱭᱟᱜ,about,
ᱩᱛᱩ,vegetables,
ᱩᱜᱟᱨᱤᱴᱤᱠ,Ugaritic,
ᱩᱞ,mango,
ᱩᱡᱽᱵᱮᱠ,Uzbek,
ᱩᱢᱵᱩᱱᱰᱩ,Umbundu,
ᱩᱧᱩᱢ,Pronoun,
ᱩᱨᱫᱩ,Urdu,
ᱩᱫᱩᱜ ᱠᱟ.ᱴᱩᱵ,panter,
ᱩᱭᱜᱷᱩᱨ,Uyghur,
ᱩᱭᱜᱷᱩᱨ,Uighur,
ᱩᱰᱢᱩᱴ,Udmurt,
ᱩᱱᱤ,that,
ᱩᱵᱽ,hair,
ᱩᱸᱴ,camel,
ᱪᱚᱨᱪ ᱥᱞᱟᱣᱤᱠ,Church Slavic,
ᱪᱚᱴᱱᱤ,sauce,
ᱪᱟᱣᱞᱮ,rice,
ᱪᱟᱭ,tea,
ᱪᱟᱭᱱᱤᱡᱽ,Chinese,
