zero,ᱥᱩᱱᱭᱚ
eighty five,ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱢᱚᱸᱬᱮ
eighty six,ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
eighty seven,ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱮᱭᱟᱭ
eighty eight,ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
eighty nine,ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱟᱨᱮᱞ
ninety,ᱟᱨᱮᱞ ᱜᱮᱞ
ninety one,ᱟᱨᱮᱞ ᱜᱮᱞ ᱢᱤᱫ
ninety two,ᱟᱨᱮᱞ ᱜᱮᱞ ᱵᱟᱨ
ninety three,ᱟᱨᱮᱞ ᱜᱮᱞ ᱯᱮ
ninety four,ᱟᱨᱮᱞ ᱜᱮᱞ ᱯᱩᱱ
ninety five,ᱟᱨᱮᱞ ᱜᱮᱞ ᱢᱚᱸᱬᱮ
ninety six,ᱟᱨᱮᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
ninety seven,ᱟᱨᱮᱞ ᱜᱮᱞ ᱮᱭᱟᱭ
ninety eight,ᱟᱨᱮᱞ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
ninety nine,ᱟᱨᱮᱞ ᱜᱮᱞ ᱟᱨᱮᱞ
one hundred,ᱢᱤᱫ ᱥᱟᱭ
